c002217,102,32.56,99.22,13.51,96.96,/content/drive/MyDrive/stock/data/working/models_2/102/32.56_002217_00_mem_3_ltsm_1_dense_1_unit_64.h5
c002660,102,97.97,99.88,61.16,99.41,/content/drive/MyDrive/stock/data/working/models_2/102/97.97_002660_00_mem_3_ltsm_1_dense_1_unit_64.h5
c002660,102,96.38,99.08,60.30,98.70,/content/drive/MyDrive/stock/data/working/models_2/102/96.38_002660_01_mem_3_ltsm_1_dense_1_unit_64.h5
c002217,102,31.47,96.51,12.90,94.44,/content/drive/MyDrive/stock/data/working/models_2/102/31.47_002217_01_mem_3_ltsm_1_dense_1_unit_64.h5
c002660,102,94.57,98.18,59.17,97.77,/content/drive/MyDrive/stock/data/working/models_2/102/94.57_002660_02_mem_3_ltsm_1_dense_1_unit_64.h5
c002217,102,30.14,93.54,12.10,90.98,/content/drive/MyDrive/stock/data/working/models_2/102/30.14_002217_02_mem_3_ltsm_1_dense_1_unit_64.h5
c002660,102,91.83,96.91,57.65,96.50,/content/drive/MyDrive/stock/data/working/models_2/102/91.83_002660_03_mem_3_ltsm_1_dense_1_unit_64.h5
c002217,102,28.09,89.05,11.00,86.06,/content/drive/MyDrive/stock/data/working/models_2/102/28.09_002217_03_mem_3_ltsm_1_dense_1_unit_64.h5
c002660,102,87.66,94.95,55.54,94.73,/content/drive/MyDrive/stock/data/working/models_2/102/87.66_002660_04_mem_3_ltsm_1_dense_1_unit_64.h5
c002217,102,24.84,82.65,9.51,79.05,/content/drive/MyDrive/stock/data/working/models_2/102/24.84_002217_04_mem_3_ltsm_1_dense_1_unit_64.h5
c002660,102,81.78,92.16,52.50,92.13,/content/drive/MyDrive/stock/data/working/models_2/102/81.78_002660_05_mem_3_ltsm_1_dense_1_unit_64.h5
c002217,102,19.74,72.32,7.47,69.02,/content/drive/MyDrive/stock/data/working/models_2/102/19.74_002217_05_mem_3_ltsm_1_dense_1_unit_64.h5
c002660,102,72.41,87.59,48.00,88.07,/content/drive/MyDrive/stock/data/working/models_2/102/72.41_002660_06_mem_3_ltsm_1_dense_1_unit_64.h5
c002217,102,12.90,57.13,4.81,54.67,/content/drive/MyDrive/stock/data/working/models_2/102/12.90_002217_06_mem_3_ltsm_1_dense_1_unit_64.h5
c002660,102,59.27,80.29,41.26,81.39,/content/drive/MyDrive/stock/data/working/models_2/102/59.27_002660_07_mem_3_ltsm_1_dense_1_unit_64.h5
c002217,102,5.46,36.65,1.93,34.53,/content/drive/MyDrive/stock/data/working/models_2/102/5.46_002217_07_mem_3_ltsm_1_dense_1_unit_64.h5
c002660,102,43.32,69.30,31.54,70.06,/content/drive/MyDrive/stock/data/working/models_2/102/43.32_002660_08_mem_3_ltsm_1_dense_1_unit_64.h5
c002217,102,1.62,21.25,0.48,15.49,/content/drive/MyDrive/stock/data/working/models_2/102/1.62_002217_08_mem_3_ltsm_1_dense_1_unit_64.h5
c002660,102,26.62,53.44,18.69,52.20,/content/drive/MyDrive/stock/data/working/models_2/102/26.62_002660_09_mem_3_ltsm_1_dense_1_unit_64.h5
c002217,102,2.47,26.65,0.99,16.07,/content/drive/MyDrive/stock/data/working/models_2/102/2.47_002217_09_mem_3_ltsm_1_dense_1_unit_64.h5
c002217,102,3.10,30.59,0.91,16.82,/content/drive/MyDrive/stock/data/working/models_2/102/3.10_002217_10_mem_3_ltsm_1_dense_1_unit_64.h5
c002660,102,12.57,34.16,6.18,29.36,/content/drive/MyDrive/stock/data/working/models_2/102/12.57_002660_10_mem_3_ltsm_1_dense_1_unit_64.h5
c002217,102,1.72,22.98,0.66,18.24,/content/drive/MyDrive/stock/data/working/models_2/102/1.72_002217_11_mem_3_ltsm_1_dense_1_unit_64.h5
c002660,102,5.48,20.10,4.11,17.69,/content/drive/MyDrive/stock/data/working/models_2/102/5.48_002660_11_mem_3_ltsm_1_dense_1_unit_64.h5
c002217,102,1.28,18.69,0.65,19.90,/content/drive/MyDrive/stock/data/working/models_2/102/1.28_002217_12_mem_3_ltsm_1_dense_1_unit_64.h5
c002660,102,8.15,25.95,8.57,34.50,/content/drive/MyDrive/stock/data/working/models_2/102/8.15_002660_12_mem_3_ltsm_1_dense_1_unit_64.h5
c002217,102,1.49,18.62,0.68,20.39,/content/drive/MyDrive/stock/data/working/models_2/102/1.49_002217_13_mem_3_ltsm_1_dense_1_unit_64.h5
c002660,102,9.60,31.26,6.58,30.14,/content/drive/MyDrive/stock/data/working/models_2/102/9.60_002660_13_mem_3_ltsm_1_dense_1_unit_64.h5
c002217,102,1.43,18.69,0.60,18.86,/content/drive/MyDrive/stock/data/working/models_2/102/1.43_002217_14_mem_3_ltsm_1_dense_1_unit_64.h5
