code,klt,loss,mape,val_loss,val_mape,modelname
c000797,102,0.11,7.88,0.08,4.45,/content/drive/MyDrive/stock/data/working/models_2/102/0.11_000797_41_mem_3_ltsm_1_dense_1_unit_64.h5
c000797,102,0.11,8.76,0.11,5.78,/content/drive/MyDrive/stock/data/working/models_2/102/0.11_000797_42_mem_3_ltsm_1_dense_1_unit_64.h5
c000797,102,0.11,8.48,0.07,4.22,/content/drive/MyDrive/stock/data/working/models_2/102/0.11_000797_44_mem_3_ltsm_1_dense_1_unit_64.h5
c000797,102,0.11,8.43,0.08,4.34,/content/drive/MyDrive/stock/data/working/models_2/102/0.11_000797_45_mem_3_ltsm_1_dense_1_unit_64.h5
c002652,102,0.44,9.68,0.33,14.7,/content/drive/MyDrive/stock/data/working/models_2/102/0.44_002652_47_mem_3_ltsm_1_dense_1_unit_64.h5
c000421,102,0.26,10.01,0.09,3.43,/content/drive/MyDrive/stock/data/working/models_2/102/0.26_000421_47_mem_3_ltsm_1_dense_1_unit_64.h5
c000800,102,0.88,23.54,0.35,5.75,/content/drive/MyDrive/stock/data/working/models_2/102/0.88_000800_48_mem_3_ltsm_1_dense_1_unit_64.h5
c600051,102,0.6,8.63,0.14,4.45,/content/drive/MyDrive/stock/data/working/models_2/102/0.60_600051_49_mem_3_ltsm_1_dense_1_unit_64.h5
c002703,102,1.71,11.51,2.39,10.7,/content/drive/MyDrive/stock/data/working/models_2/102/1.71_002703_48_mem_3_ltsm_1_dense_1_unit_64.h5
c002911,102,1.5,9.9,2.18,6.94,/content/drive/MyDrive/stock/data/working/models_2/102/1.50_002911_38_mem_3_ltsm_1_dense_1_unit_64.h5
c002644,102,2.75,11.15,1.32,7.99,/content/drive/MyDrive/stock/data/working/models_2/102/2.75_002644_24_mem_3_ltsm_1_dense_1_unit_64.h5
c000666,102,1.24,11.26,0.41,3.97,/content/drive/MyDrive/stock/data/working/models_2/102/1.24_000666_45_mem_3_ltsm_1_dense_1_unit_64.h5
c000666,102,1.24,11.67,0.4,4.13,/content/drive/MyDrive/stock/data/working/models_2/102/1.24_000666_46_mem_3_ltsm_1_dense_1_unit_64.h5
c601858,102,1.84,9.31,1.32,9.23,/content/drive/MyDrive/stock/data/working/models_2/102/1.84_601858_47_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,102,3.09,10.61,10.16,10.64,/content/drive/MyDrive/stock/data/working/models_2/102/3.09_002875_49_mem_3_ltsm_1_dense_1_unit_64.h5
c600130,102,0.29,8.11,0.04,3.69,/content/drive/MyDrive/stock/data/working/models_2/102/0.29_600130_42_mem_3_ltsm_1_dense_1_unit_64.h5
c600647,102,5.82,16.2,7.29,14.72,/content/drive/MyDrive/stock/data/working/models_2/102/5.82_600647_20_mem_3_ltsm_1_dense_1_unit_64.h5
c603689,102,1.99,11.94,0.79,8.27,/content/drive/MyDrive/stock/data/working/models_2/102/1.99_603689_30_mem_3_ltsm_1_dense_1_unit_64.h5
c002855,102,3.34,12.62,3.02,14.59,/content/drive/MyDrive/stock/data/working/models_2/102/3.34_002855_30_mem_3_ltsm_1_dense_1_unit_64.h5
c600266,102,0.82,30.64,0.33,8.78,/content/drive/MyDrive/stock/data/working/models_2/102/0.82_600266_19_mem_3_ltsm_1_dense_1_unit_64.h5
c001338,102,5.45,9.56,124.38,56.49,/content/drive/MyDrive/stock/data/working/models_2/102/5.45_001338_34_mem_3_ltsm_1_dense_1_unit_64.h5
c603811,102,3.68,12.04,1.75,7.19,/content/drive/MyDrive/stock/data/working/models_2/102/3.68_603811_33_mem_3_ltsm_1_dense_1_unit_64.h5
c603949,102,24.09,21.03,24.93,16.68,/content/drive/MyDrive/stock/data/working/models_2/102/24.09_603949_43_mem_3_ltsm_1_dense_1_unit_64.h5
c000722,102,1.51,11.68,1.77,8.44,/content/drive/MyDrive/stock/data/working/models_2/102/1.51_000722_27_mem_3_ltsm_1_dense_1_unit_64.h5
c002150,102,0.41,9.96,9.34,6.66,/content/drive/MyDrive/stock/data/working/models_2/102/0.41_002150_48_mem_3_ltsm_1_dense_1_unit_64.h5
c002728,102,8.18,10.91,12.18,11.8,/content/drive/MyDrive/stock/data/working/models_2/102/8.18_002728_38_mem_3_ltsm_1_dense_1_unit_64.h5
c000888,102,0.68,13.25,1.04,10.94,/content/drive/MyDrive/stock/data/working/models_2/102/0.68_000888_17_mem_3_ltsm_1_dense_1_unit_64.h5
c600791,102,0.26,8.07,0.05,3.8,/content/drive/MyDrive/stock/data/working/models_2/102/0.26_600791_47_mem_3_ltsm_1_dense_1_unit_64.h5
c600791,102,0.26,8.14,0.08,5.21,/content/drive/MyDrive/stock/data/working/models_2/102/0.26_600791_48_mem_3_ltsm_1_dense_1_unit_64.h5
c603289,102,1.47,10.77,1.77,10.66,/content/drive/MyDrive/stock/data/working/models_2/102/1.47_603289_37_mem_3_ltsm_1_dense_1_unit_64.h5
c002105,102,0.29,8.19,0.15,3.53,/content/drive/MyDrive/stock/data/working/models_2/102/0.29_002105_48_mem_3_ltsm_1_dense_1_unit_64.h5
c000736,102,0.43,31.43,14.29,13.76,/content/drive/MyDrive/stock/data/working/models_2/102/0.43_000736_14_mem_3_ltsm_1_dense_1_unit_64.h5
c000815,102,2.48,13.28,5.27,15.87,/content/drive/MyDrive/stock/data/working/models_2/102/2.48_000815_21_mem_3_ltsm_1_dense_1_unit_64.h5
c003027,102,18.07,15.53,262.23,52.92,/content/drive/MyDrive/stock/data/working/models_2/102/18.07_003027_46_mem_3_ltsm_1_dense_1_unit_64.h5
c603182,102,2.74,7.0,2.37,7.02,/content/drive/MyDrive/stock/data/working/models_2/102/2.74_603182_39_mem_3_ltsm_1_dense_1_unit_64.h5
c603029,102,18.25,12.6,17.21,16.65,/content/drive/MyDrive/stock/data/working/models_2/102/18.25_603029_49_mem_3_ltsm_1_dense_1_unit_64.h5
c000025,102,10.55,20.37,94.77,46.95,/content/drive/MyDrive/stock/data/working/models_2/102/10.55_000025_20_mem_3_ltsm_1_dense_1_unit_64.h5
c600354,102,0.46,9.72,0.17,5.95,/content/drive/MyDrive/stock/data/working/models_2/102/0.46_600354_47_mem_3_ltsm_1_dense_1_unit_64.h5
c000006,102,0.21,49.84,0.15,5.24,/content/drive/MyDrive/stock/data/working/models_2/102/0.21_000006_46_mem_3_ltsm_1_dense_1_unit_64.h5
c000625,102,0.19,26.26,4.38,11.3,/content/drive/MyDrive/stock/data/working/models_2/102/0.19_000625_44_mem_3_ltsm_1_dense_1_unit_64.h5
c600675,102,0.14,35.44,0.05,4.2,/content/drive/MyDrive/stock/data/working/models_2/102/0.14_600675_42_mem_3_ltsm_1_dense_1_unit_64.h5
c002305,102,0.23,8.61,0.22,12.5,/content/drive/MyDrive/stock/data/working/models_2/102/0.23_002305_49_mem_3_ltsm_1_dense_1_unit_64.h5
c000617,102,1.8,17.22,0.75,11.22,/content/drive/MyDrive/stock/data/working/models_2/102/1.80_000617_22_mem_3_ltsm_1_dense_1_unit_64.h5
c002523,102,0.11,10.04,0.04,5.05,/content/drive/MyDrive/stock/data/working/models_2/102/0.11_002523_33_mem_3_ltsm_1_dense_1_unit_64.h5
c002523,102,0.11,9.8,0.03,4.73,/content/drive/MyDrive/stock/data/working/models_2/102/0.11_002523_42_mem_3_ltsm_1_dense_1_unit_64.h5
c002523,102,0.11,9.4,0.03,4.63,/content/drive/MyDrive/stock/data/working/models_2/102/0.11_002523_44_mem_3_ltsm_1_dense_1_unit_64.h5
c002523,102,0.11,9.2,0.03,4.61,/content/drive/MyDrive/stock/data/working/models_2/102/0.11_002523_45_mem_3_ltsm_1_dense_1_unit_64.h5
c002523,102,0.11,9.5,0.03,4.64,/content/drive/MyDrive/stock/data/working/models_2/102/0.11_002523_46_mem_3_ltsm_1_dense_1_unit_64.h5
c002523,102,0.11,9.57,0.03,4.54,/content/drive/MyDrive/stock/data/working/models_2/102/0.11_002523_48_mem_3_ltsm_1_dense_1_unit_64.h5
c002523,102,0.11,9.48,0.03,4.39,/content/drive/MyDrive/stock/data/working/models_2/102/0.11_002523_49_mem_3_ltsm_1_dense_1_unit_64.h5
c002420,102,0.57,8.26,0.63,7.96,/content/drive/MyDrive/stock/data/working/models_2/102/0.57_002420_43_mem_3_ltsm_1_dense_1_unit_64.h5
c000926,102,0.48,9.19,0.19,5.9,/content/drive/MyDrive/stock/data/working/models_2/102/0.48_000926_49_mem_3_ltsm_1_dense_1_unit_64.h5
c002382,102,1.61,11.45,2.05,6.26,/content/drive/MyDrive/stock/data/working/models_2/102/1.61_002382_49_mem_3_ltsm_1_dense_1_unit_64.h5
c600213,102,0.73,9.59,0.46,6.01,/content/drive/MyDrive/stock/data/working/models_2/102/0.73_600213_39_mem_3_ltsm_1_dense_1_unit_64.h5
c600622,102,0.12,35.91,0.77,9.26,/content/drive/MyDrive/stock/data/working/models_2/102/0.12_600622_29_mem_3_ltsm_1_dense_1_unit_64.h5
c600006,102,0.18,8.26,0.13,3.82,/content/drive/MyDrive/stock/data/working/models_2/102/0.18_600006_46_mem_3_ltsm_1_dense_1_unit_64.h5
c600823,102,0.14,47.53,0.14,7.47,/content/drive/MyDrive/stock/data/working/models_2/102/0.14_600823_21_mem_3_ltsm_1_dense_1_unit_64.h5
c000868,102,0.2,9.11,0.15,6.43,/content/drive/MyDrive/stock/data/working/models_2/102/0.20_000868_45_mem_3_ltsm_1_dense_1_unit_64.h5
c603777,102,13.21,12.0,3.18,9.67,/content/drive/MyDrive/stock/data/working/models_2/102/13.21_603777_48_mem_3_ltsm_1_dense_1_unit_64.h5
c003042,102,12.25,15.61,47.23,24.14,/content/drive/MyDrive/stock/data/working/models_2/102/12.25_003042_43_mem_3_ltsm_1_dense_1_unit_64.h5
c002101,102,0.79,8.68,17.7,11.96,/content/drive/MyDrive/stock/data/working/models_2/102/0.79_002101_46_mem_3_ltsm_1_dense_1_unit_64.h5
c002101,102,0.79,8.75,17.78,11.7,/content/drive/MyDrive/stock/data/working/models_2/102/0.79_002101_47_mem_3_ltsm_1_dense_1_unit_64.h5
c000593,102,0.48,9.06,0.32,5.19,/content/drive/MyDrive/stock/data/working/models_2/102/0.48_000593_38_mem_3_ltsm_1_dense_1_unit_64.h5
c603699,102,3.78,9.51,1.68,9.67,/content/drive/MyDrive/stock/data/working/models_2/102/3.78_603699_46_mem_3_ltsm_1_dense_1_unit_64.h5
c603043,102,12.38,14.5,3.35,5.89,/content/drive/MyDrive/stock/data/working/models_2/102/12.38_603043_33_mem_3_ltsm_1_dense_1_unit_64.h5
c601633,102,1.36,14.06,283.76,28.59,/content/drive/MyDrive/stock/data/working/models_2/102/1.36_601633_48_mem_3_ltsm_1_dense_1_unit_64.h5
c601698,102,11.41,20.25,4.23,16.34,/content/drive/MyDrive/stock/data/working/models_2/102/11.41_601698_49_mem_3_ltsm_1_dense_1_unit_64.h5
c600418,102,0.53,14.1,3.78,8.48,/content/drive/MyDrive/stock/data/working/models_2/102/0.53_600418_49_mem_3_ltsm_1_dense_1_unit_64.h5
c002561,102,1.5,10.21,1.65,7.95,/content/drive/MyDrive/stock/data/working/models_2/102/1.50_002561_26_mem_3_ltsm_1_dense_1_unit_64.h5
c002997,102,16.85,17.71,147.12,41.41,/content/drive/MyDrive/stock/data/working/models_2/102/16.85_002997_49_mem_3_ltsm_1_dense_1_unit_64.h5
c600526,102,0.82,8.65,0.26,5.97,/content/drive/MyDrive/stock/data/working/models_2/102/0.82_600526_49_mem_3_ltsm_1_dense_1_unit_64.h5
c002579,102,1.5,14.42,0.92,7.73,/content/drive/MyDrive/stock/data/working/models_2/102/1.50_002579_47_mem_3_ltsm_1_dense_1_unit_64.h5
c002033,102,0.48,10.05,0.16,4.09,/content/drive/MyDrive/stock/data/working/models_2/102/0.48_002033_45_mem_3_ltsm_1_dense_1_unit_64.h5
c002192,102,25.2,21.68,5915.0,58.4,/content/drive/MyDrive/stock/data/working/models_2/102/25.20_002192_49_mem_3_ltsm_1_dense_1_unit_64.h5
c002999,102,0.9,10.13,1.17,7.48,/content/drive/MyDrive/stock/data/working/models_2/102/0.90_002999_48_mem_3_ltsm_1_dense_1_unit_64.h5
c002758,102,6.13,14.7,5.84,14.88,/content/drive/MyDrive/stock/data/working/models_2/102/6.13_002758_25_mem_3_ltsm_1_dense_1_unit_64.h5
c600050,102,0.2,7.89,0.01,1.89,/content/drive/MyDrive/stock/data/working/models_2/102/0.20_600050_48_mem_3_ltsm_1_dense_1_unit_64.h5
c600050,102,0.2,7.79,0.04,3.55,/content/drive/MyDrive/stock/data/working/models_2/102/0.20_600050_49_mem_3_ltsm_1_dense_1_unit_64.h5
c002669,102,14.15,17.49,8.71,18.53,/content/drive/MyDrive/stock/data/working/models_2/102/14.15_002669_22_mem_3_ltsm_1_dense_1_unit_64.h5
c002187,102,1.32,8.87,0.78,5.48,/content/drive/MyDrive/stock/data/working/models_2/102/1.32_002187_49_mem_3_ltsm_1_dense_1_unit_64.h5
c603179,102,40.99,42.32,316.68,46.47,/content/drive/MyDrive/stock/data/working/models_2/102/40.99_603179_35_mem_3_ltsm_1_dense_1_unit_64.h5
c000550,102,1.76,18.95,2.55,7.28,/content/drive/MyDrive/stock/data/working/models_2/102/1.76_000550_47_mem_3_ltsm_1_dense_1_unit_64.h5
c000957,102,0.39,11.26,2.22,7.52,/content/drive/MyDrive/stock/data/working/models_2/102/0.39_000957_48_mem_3_ltsm_1_dense_1_unit_64.h5
c603596,102,230.99,40.27,2252.07,56.52,/content/drive/MyDrive/stock/data/working/models_2/102/230.99_603596_41_mem_3_ltsm_1_dense_1_unit_64.h5
c601127,102,34.43,13.29,194.31,18.79,/content/drive/MyDrive/stock/data/working/models_2/102/34.43_601127_48_mem_3_ltsm_1_dense_1_unit_64.h5
c603982,102,46.81,21.61,28.4,16.71,/content/drive/MyDrive/stock/data/working/models_2/102/46.81_603982_32_mem_3_ltsm_1_dense_1_unit_64.h5
c603305,102,31.76,19.48,124.77,26.86,/content/drive/MyDrive/stock/data/working/models_2/102/31.76_603305_37_mem_3_ltsm_1_dense_1_unit_64.h5
c603177,102,6.07,11.49,6.28,10.97,/content/drive/MyDrive/stock/data/working/models_2/102/6.07_603177_48_mem_3_ltsm_1_dense_1_unit_64.h5
c605128,102,74.68,16.98,1002.33,56.55,/content/drive/MyDrive/stock/data/working/models_2/102/74.68_605128_49_mem_3_ltsm_1_dense_1_unit_64.h5
