code,klt,loss,mape,val_loss,val_mape,modelname
c000797,101,0.04,4.82,0.01,1.96,/kaggle/working/models_2/101/0.04_000797_15_mem_3_ltsm_1_dense_1_unit_64.h5
c002652,101,0.14,5.65,0.01,2.55,/kaggle/working/models_2/101/0.14_002652_21_mem_3_ltsm_1_dense_1_unit_64.h5
c002652,101,0.14,5.48,0.01,2.27,/kaggle/working/models_2/101/0.14_002652_22_mem_3_ltsm_1_dense_1_unit_64.h5
c002652,101,0.14,5.45,0.02,3.5,/kaggle/working/models_2/101/0.14_002652_24_mem_3_ltsm_1_dense_1_unit_64.h5
c000421,101,0.1,6.2,0.02,1.87,/kaggle/working/models_2/101/0.10_000421_15_mem_3_ltsm_1_dense_1_unit_64.h5
c000800,101,0.35,23.68,0.05,2.09,/kaggle/working/models_2/101/0.35_000800_34_mem_3_ltsm_1_dense_1_unit_64.h5
c600051,101,0.32,6.25,0.04,1.96,/kaggle/working/models_2/101/0.32_600051_15_mem_3_ltsm_1_dense_1_unit_64.h5
c002703,101,0.34,5.1,0.24,3.89,/kaggle/working/models_2/101/0.34_002703_37_mem_3_ltsm_1_dense_1_unit_64.h5
c002911,101,0.51,5.74,0.22,3.41,/kaggle/working/models_2/101/0.51_002911_25_mem_3_ltsm_1_dense_1_unit_64.h5
c002644,101,0.45,6.24,0.04,1.33,/kaggle/working/models_2/101/0.45_002644_22_mem_3_ltsm_1_dense_1_unit_64.h5
c000666,101,0.39,5.7,0.18,1.73,/kaggle/working/models_2/101/0.39_000666_28_mem_3_ltsm_1_dense_1_unit_64.h5
c601858,101,0.52,5.49,0.13,3.69,/kaggle/working/models_2/101/0.52_601858_38_mem_3_ltsm_1_dense_1_unit_64.h5
c601858,101,0.52,5.52,0.15,3.92,/kaggle/working/models_2/101/0.52_601858_39_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,1.02,6.27,0.6,2.49,/kaggle/working/models_2/101/1.02_002875_26_mem_3_ltsm_1_dense_1_unit_64.h5
c600130,101,0.12,5.12,0.02,3.1,/kaggle/working/models_2/101/0.12_600130_15_mem_3_ltsm_1_dense_1_unit_64.h5
c600130,101,0.12,4.82,0.01,1.89,/kaggle/working/models_2/101/0.12_600130_18_mem_3_ltsm_1_dense_1_unit_64.h5
c600647,101,0.76,6.96,0.2,1.68,/kaggle/working/models_2/101/0.76_600647_11_mem_3_ltsm_1_dense_1_unit_64.h5
c603689,101,0.27,4.91,0.03,1.8,/kaggle/working/models_2/101/0.27_603689_45_mem_3_ltsm_1_dense_1_unit_64.h5
c002855,101,0.83,6.24,0.12,2.25,/kaggle/working/models_2/101/0.83_002855_19_mem_3_ltsm_1_dense_1_unit_64.h5
c600266,101,0.19,10.06,0.02,2.76,/kaggle/working/models_2/101/0.19_600266_11_mem_3_ltsm_1_dense_1_unit_64.h5
c600266,101,0.19,11.38,0.01,1.43,/kaggle/working/models_2/101/0.19_600266_13_mem_3_ltsm_1_dense_1_unit_64.h5
c600266,101,0.19,10.71,0.01,1.72,/kaggle/working/models_2/101/0.19_600266_14_mem_3_ltsm_1_dense_1_unit_64.h5
c001338,101,4.92,7.6,1.45,5.41,/kaggle/working/models_2/101/4.92_001338_20_mem_3_ltsm_1_dense_1_unit_64.h5
