code,klt,loss,mape,val_loss,val_mape,modelname
c002202,101.0,1.1,8.54,0.27,2.6,/content/stock/data/working/Models/models_2/101/1.10_002202_20_mem_3_ltsm_1_dense_1_unit_64.h5
c603527,101.0,0.93,7.55,1.28,5.3,/content/stock/data/working/Models/models_2/101/0.93_603527_42_mem_3_ltsm_1_dense_1_unit_64.h5
c603218,101.0,4.31,8.82,1.1,3.44,/content/stock/data/working/Models/models_2/101/4.31_603218_39_mem_3_ltsm_1_dense_1_unit_64.h5
c002622,101.0,0.92,11.73,0.13,6.43,/content/stock/data/working/Models/models_2/101/0.92_002622_14_mem_3_ltsm_1_dense_1_unit_64.h5
c000955,101.0,0.27,8.15,0.2,3.34,/content/stock/data/working/Models/models_2/101/0.27_000955_16_mem_3_ltsm_1_dense_1_unit_64.h5
c601098,101.0,1.66,9.5,0.06,2.36,/content/stock/data/working/Models/models_2/101/1.66_601098_15_mem_3_ltsm_1_dense_1_unit_64.h5
c000955,101.0,0.27,8.16,0.22,3.16,/content/stock/data/working/Models/models_2/101/0.27_000955_26_mem_3_ltsm_1_dense_1_unit_64.h5
c002837,101.0,2.26,8.55,2.63,4.29,/content/stock/data/working/Models/models_2/101/2.26_002837_44_mem_3_ltsm_1_dense_1_unit_64.h5
c605001,101.0,0.9,7.32,1.5,8.87,/content/stock/data/working/Models/models_2/101/0.90_605001_33_mem_3_ltsm_1_dense_1_unit_64.h5
c000056,101.0,0.49,10.24,0.36,9.25,/content/stock/data/working/Models/models_2/101/0.49_000056_15_mem_3_ltsm_1_dense_1_unit_64.h5
c002468,101.0,5.29,14.43,10.03,32.73,/content/stock/data/working/Models/models_2/101/5.29_002468_21_mem_3_ltsm_1_dense_1_unit_64.h5
c600989,101.0,1.41,8.17,0.23,2.86,/content/stock/data/working/Models/models_2/101/1.41_600989_48_mem_3_ltsm_1_dense_1_unit_64.h5
c600100,101.0,1.22,11.52,0.24,6.14,/content/stock/data/working/Models/models_2/101/1.22_600100_12_mem_3_ltsm_1_dense_1_unit_64.h5
c600909,101.0,0.29,6.63,0.02,1.86,/content/stock/data/working/Models/models_2/101/0.29_600909_47_mem_3_ltsm_1_dense_1_unit_64.h5
c600909,101.0,0.29,6.83,0.02,2.16,/content/stock/data/working/Models/models_2/101/0.29_600909_48_mem_3_ltsm_1_dense_1_unit_64.h5
c600613,101.0,0.98,7.15,1.01,8.31,/content/stock/data/working/Models/models_2/101/0.98_600613_34_mem_3_ltsm_1_dense_1_unit_64.h5
c000016,101.0,0.07,10.87,0.2,7.43,/content/stock/data/working/Models/models_2/101/0.07_000016_11_mem_3_ltsm_1_dense_1_unit_64.h5
c000906,101.0,0.21,13.8,0.15,3.37,/content/stock/data/working/Models/models_2/101/0.21_000906_31_mem_3_ltsm_1_dense_1_unit_64.h5
c003001,101.0,15.08,12.69,10.45,19.59,/content/stock/data/working/Models/models_2/101/15.08_003001_18_mem_3_ltsm_1_dense_1_unit_64.h5
c003001,101.0,15.08,11.86,5.37,13.43,/content/stock/data/working/Models/models_2/101/15.08_003001_20_mem_3_ltsm_1_dense_1_unit_64.h5
