code,klt,loss,mape,val_loss,val_mape,modelname
c003023,101,7.42,10.04,40.96,18.63,/kaggle/working/models_2/101/7.42_003023_48_mem_3_ltsm_1_dense_1_unit_64.h5
c002616,101,0.46,7.9,0.03,2.2,/kaggle/working/models_2/101/0.46_002616_48_mem_3_ltsm_1_dense_1_unit_64.h5
c002616,101,0.46,8.43,0.13,5.6,/kaggle/working/models_2/101/0.46_002616_49_mem_3_ltsm_1_dense_1_unit_64.h5
c600122,101,0.96,10.8,0.23,22.82,/kaggle/working/models_2/101/0.96_600122_08_mem_3_ltsm_1_dense_1_unit_64.h5
c000150,101,1.87,29.08,0.82,17.19,/kaggle/working/models_2/101/1.87_000150_06_mem_3_ltsm_1_dense_1_unit_64.h5
c600260,101,1.11,12.03,2.24,30.87,/kaggle/working/models_2/101/1.11_600260_17_mem_3_ltsm_1_dense_1_unit_64.h5
c000616,101,0.35,19.29,0.25,18.98,/kaggle/working/models_2/101/0.35_000616_12_mem_3_ltsm_1_dense_1_unit_64.h5
c600139,101,0.72,23.31,0.33,17.41,/kaggle/working/models_2/101/0.72_600139_13_mem_3_ltsm_1_dense_1_unit_64.h5
c002005,101,0.4,11.49,0.02,8.05,/kaggle/working/models_2/101/0.40_002005_33_mem_3_ltsm_1_dense_1_unit_64.h5
c002152,101,0.51,8.43,0.42,3.85,/kaggle/working/models_2/101/0.51_002152_19_mem_3_ltsm_1_dense_1_unit_64.h5
c000402,101,0.48,17.94,0.03,2.02,/kaggle/working/models_2/101/0.48_000402_18_mem_3_ltsm_1_dense_1_unit_64.h5
c600608,101,0.26,8.22,0.03,2.25,/kaggle/working/models_2/101/0.26_600608_23_mem_3_ltsm_1_dense_1_unit_64.h5
c002024,101,1.06,58.83,0.24,7.39,/kaggle/working/models_2/101/1.06_002024_13_mem_3_ltsm_1_dense_1_unit_64.h5
c600518,101,2.27,45.32,1.37,34.44,/kaggle/working/models_2/101/2.27_600518_09_mem_3_ltsm_1_dense_1_unit_64.h5
c002776,101,1.33,9.52,0.41,21.54,/kaggle/working/models_2/101/1.33_002776_17_mem_3_ltsm_1_dense_1_unit_64.h5
c600767,101,0.99,9.43,0.12,5.68,/kaggle/working/models_2/101/0.99_600767_13_mem_3_ltsm_1_dense_1_unit_64.h5
c603366,101,0.62,9.28,0.32,6.85,/kaggle/working/models_2/101/0.62_603366_16_mem_3_ltsm_1_dense_1_unit_64.h5
c000069,101,0.43,61.32,0.12,3.82,/kaggle/working/models_2/101/0.43_000069_06_mem_3_ltsm_1_dense_1_unit_64.h5
c002700,101,0.86,7.35,0.03,3.18,/kaggle/working/models_2/101/0.86_002700_40_mem_3_ltsm_1_dense_1_unit_64.h5
c600601,101,0.13,9.68,0.03,4.38,/kaggle/working/models_2/101/0.13_600601_08_mem_3_ltsm_1_dense_1_unit_64.h5
c000796,101,1.57,9.05,5.26,20.51,/kaggle/working/models_2/101/1.57_000796_10_mem_3_ltsm_1_dense_1_unit_64.h5
c600933,101,1.18,7.18,3.76,6.03,/kaggle/working/models_2/101/1.18_600933_48_mem_3_ltsm_1_dense_1_unit_64.h5
c600112,101,0.66,9.3,0.08,11.03,/kaggle/working/models_2/101/0.66_600112_36_mem_3_ltsm_1_dense_1_unit_64.h5
c600099,101,0.43,6.95,0.04,1.91,/kaggle/working/models_2/101/0.43_600099_28_mem_3_ltsm_1_dense_1_unit_64.h5
c002843,101,1.92,8.31,1.43,5.47,/kaggle/working/models_2/101/1.92_002843_25_mem_3_ltsm_1_dense_1_unit_64.h5
c000819,101,3.3,14.44,0.97,9.75,/kaggle/working/models_2/101/3.30_000819_19_mem_3_ltsm_1_dense_1_unit_64.h5
c000889,101,0.36,10.02,0.6,16.53,/kaggle/working/models_2/101/0.36_000889_13_mem_3_ltsm_1_dense_1_unit_64.h5
c600303,101,0.36,8.02,0.11,5.81,/kaggle/working/models_2/101/0.36_600303_17_mem_3_ltsm_1_dense_1_unit_64.h5
c002482,101,0.58,7.81,0.72,34.44,/kaggle/working/models_2/101/0.58_002482_15_mem_3_ltsm_1_dense_1_unit_64.h5
c600666,101,0.7,24.21,0.27,13.76,/kaggle/working/models_2/101/0.70_600666_03_mem_3_ltsm_1_dense_1_unit_64.h5
c002416,101,0.81,7.64,0.28,4.76,/kaggle/working/models_2/101/0.81_002416_32_mem_3_ltsm_1_dense_1_unit_64.h5
c002416,101,0.81,7.49,0.09,2.25,/kaggle/working/models_2/101/0.81_002416_33_mem_3_ltsm_1_dense_1_unit_64.h5
