code,klt,loss,mape,val_loss,val_mape,modelname
c002875,101,1.9,8.25,3.64,5.91,/content/drive/MyDrive/stock/data/working/models_2/101/1.90_002875_28_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,2.05,8.49,4.44,7.84,/content/drive/MyDrive/stock/data/working/models_2/101/2.05_002875_29_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,1.8,8.09,3.88,6.04,/content/drive/MyDrive/stock/data/working/models_2/101/1.80_002875_30_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,2.06,8.51,3.87,6.95,/content/drive/MyDrive/stock/data/working/models_2/101/2.06_002875_31_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,1.86,8.07,3.69,6.45,/content/drive/MyDrive/stock/data/working/models_2/101/1.86_002875_32_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,1.79,8.35,4.12,5.93,/content/drive/MyDrive/stock/data/working/models_2/101/1.79_002875_33_mem_3_ltsm_1_dense_1_unit_64.h5
c600051,101,0.62,9.59,0.06,2.21,/content/drive/MyDrive/stock/data/working/models_2/101/0.62_600051_10_mem_3_ltsm_1_dense_1_unit_64.h5
c600051,101,0.58,9.34,0.13,3.17,/content/drive/MyDrive/stock/data/working/models_2/101/0.58_600051_17_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,1.95,8.19,3.06,6.18,/content/drive/MyDrive/stock/data/working/models_2/101/1.95_002875_34_mem_3_ltsm_1_dense_1_unit_64.h5
c600051,101,0.55,9.05,0.07,2.63,/content/drive/MyDrive/stock/data/working/models_2/101/0.55_600051_11_mem_3_ltsm_1_dense_1_unit_64.h5
c600051,101,0.58,9.82,0.14,3.48,/content/drive/MyDrive/stock/data/working/models_2/101/0.58_600051_18_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,2.10,8.40,4.17,6.36,/content/drive/MyDrive/stock/data/working/models_2/101/2.10_002875_35_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,2.20,9.05,3.04,6.25,/content/drive/MyDrive/stock/data/working/models_2/101/2.20_002875_36_mem_3_ltsm_1_dense_1_unit_64.h5
