epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,204.82,99.82,272.59,99.4,600372,102,3,1,1,64
1,201.56,96.72,266.77,98.33,600372,102,3,1,1,64
2,196.07,94.6,255.06,96.15,600372,102,3,1,1,64
3,184.47,91.67,229.36,91.21,600372,102,3,1,1,64
4,160.33,86.89,176.61,79.98,600372,102,3,1,1,64
5,118.73,78.45,100.7,59.71,600372,102,3,1,1,64
6,72.71,65.22,39.26,35.29,600372,102,3,1,1,64
7,41.2,48.47,10.46,14.54,600372,102,3,1,1,64
8,25.82,43.88,4.82,11.61,600372,102,3,1,1,64
9,21.74,55.04,9.11,16.73,600372,102,3,1,1,64
10,21.68,49.41,12.9,20.37,600372,102,3,1,1,64
11,22.35,51.34,12.33,19.82,600372,102,3,1,1,64
12,22.18,51.3,9.69,17.3,600372,102,3,1,1,64
13,21.84,46.77,7.43,15.0,600372,102,3,1,1,64
14,20.12,39.74,6.35,13.75,600372,102,3,1,1,64
15,20.07,41.07,5.92,13.23,600372,102,3,1,1,64
16,19.94,44.06,5.77,13.05,600372,102,3,1,1,64
17,20.25,39.21,5.93,13.29,600372,102,3,1,1,64
18,18.88,36.97,6.33,13.83,600372,102,3,1,1,64
