epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,113.18,99.36,175.88,99.58,000555,102,3,1,1,64
1,111.66,95.36,173.42,98.83,000555,102,3,1,1,64
2,109.46,91.76,169.06,97.5,000555,102,3,1,1,64
3,105.51,86.7,160.83,94.98,000555,102,3,1,1,64
4,98.07,78.83,144.18,89.7,000555,102,3,1,1,64
5,83.93,65.78,110.68,78.04,000555,102,3,1,1,64
6,62.84,49.03,60.41,56.11,000555,102,3,1,1,64
7,43.13,47.43,20.27,28.68,000555,102,3,1,1,64
8,34.95,77.78,5.36,12.47,000555,102,3,1,1,64
9,27.63,47.8,5.39,16.72,000555,102,3,1,1,64
10,23.11,44.19,12.59,26.88,000555,102,3,1,1,64
11,19.75,53.22,24.05,38.12,000555,102,3,1,1,64
12,16.97,42.66,37.33,48.18,000555,102,3,1,1,64
13,15.17,29.75,48.9,55.29,000555,102,3,1,1,64
14,11.83,25.49,57.53,59.69,000555,102,3,1,1,64
15,11.26,24.2,63.74,62.24,000555,102,3,1,1,64
16,9.42,25.89,68.16,63.58,000555,102,3,1,1,64
17,9.21,30.52,69.26,62.96,000555,102,3,1,1,64
18,7.9,31.49,66.91,60.33,000555,102,3,1,1,64
