epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,38.96,101.88,364.86,99.35,600900,102,3,1,1,64
1,38.31,100.09,359.06,98.54,600900,102,3,1,1,64
2,37.44,100.17,350.21,97.3,600900,102,3,1,1,64
3,36.05,98.4,336.02,95.26,600900,102,3,1,1,64
4,33.89,96.73,312.96,91.84,600900,102,3,1,1,64
5,30.24,97.41,276.89,86.21,600900,102,3,1,1,64
6,24.59,99.56,226.89,77.68,600900,102,3,1,1,64
7,17.34,103.53,170.12,66.63,600900,102,3,1,1,64
8,9.64,109.14,118.15,54.62,600900,102,3,1,1,64
9,4.5,118.84,78.39,43.34,600900,102,3,1,1,64
10,2.91,143.71,52.88,34.3,600900,102,3,1,1,64
11,3.74,148.24,40.45,28.95,600900,102,3,1,1,64
12,4.9,133.04,37.97,27.76,600900,102,3,1,1,64
13,4.37,123.28,41.58,29.45,600900,102,3,1,1,64
14,3.56,123.55,48.06,32.28,600900,102,3,1,1,64
15,2.9,115.31,54.54,34.9,600900,102,3,1,1,64
16,2.55,115.38,58.97,36.59,600900,102,3,1,1,64
17,2.43,102.07,60.51,37.17,600900,102,3,1,1,64
18,2.14,93.64,59.47,36.81,600900,102,3,1,1,64
19,1.99,99.87,56.92,35.87,600900,102,3,1,1,64
20,1.84,115.54,53.74,34.66,600900,102,3,1,1,64
21,1.78,134.36,51.13,33.63,600900,102,3,1,1,64
22,1.46,104.41,49.06,32.8,600900,102,3,1,1,64
