epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,404.02,99.97,1036.11,99.9,603380,102,3,1,1,64
1,401.96,99.67,1032.01,99.71,603380,102,3,1,1,64
2,400.2,99.43,1027.54,99.49,603380,102,3,1,1,64
3,398.37,99.19,1021.92,99.22,603380,102,3,1,1,64
4,396.14,98.91,1014.36,98.86,603380,102,3,1,1,64
5,393.28,98.56,1004.35,98.38,603380,102,3,1,1,64
6,390.05,98.18,990.94,97.74,603380,102,3,1,1,64
7,385.21,97.66,972.92,96.86,603380,102,3,1,1,64
8,380.46,97.1,948.75,95.67,603380,102,3,1,1,64
9,373.09,96.31,916.75,94.06,603380,102,3,1,1,64
10,364.66,95.4,875.73,91.94,603380,102,3,1,1,64
11,352.69,94.26,825.55,89.25,603380,102,3,1,1,64
12,340.32,92.94,767.87,86.02,603380,102,3,1,1,64
13,324.68,91.17,705.55,82.36,603380,102,3,1,1,64
14,306.48,89.27,641.96,78.42,603380,102,3,1,1,64
15,286.97,86.84,579.87,74.36,603380,102,3,1,1,64
16,266.78,84.14,520.37,70.25,603380,102,3,1,1,64
17,247.22,81.53,464.47,66.15,603380,102,3,1,1,64
18,228.7,78.5,412.99,62.15,603380,102,3,1,1,64
19,209.07,75.38,365.98,58.27,603380,102,3,1,1,64
20,188.04,71.52,322.9,54.48,603380,102,3,1,1,64
21,174.28,68.31,283.56,50.8,603380,102,3,1,1,64
22,153.67,64.18,247.8,47.21,603380,102,3,1,1,64
23,137.8,59.75,215.43,43.72,603380,102,3,1,1,64
24,122.14,55.68,186.22,40.33,603380,102,3,1,1,64
