epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,177.42,101.87,249.6,99.42,000623,102,3,1,1,64
1,173.31,114.98,240.9,97.69,000623,102,3,1,1,64
2,163.18,116.48,219.41,93.27,000623,102,3,1,1,64
3,139.86,126.19,167.42,81.51,000623,102,3,1,1,64
4,98.33,143.71,86.38,58.27,000623,102,3,1,1,64
5,56.04,165.82,26.13,31.08,000623,102,3,1,1,64
6,29.62,177.52,3.65,8.78,000623,102,3,1,1,64
7,19.72,173.99,3.56,10.91,000623,102,3,1,1,64
8,19.68,167.05,11.38,20.63,000623,102,3,1,1,64
9,21.64,157.76,16.48,25.14,000623,102,3,1,1,64
10,21.6,149.4,16.06,24.83,000623,102,3,1,1,64
11,20.08,140.03,12.68,21.92,000623,102,3,1,1,64
12,17.58,134.28,9.33,18.71,000623,102,3,1,1,64
13,16.22,130.95,7.23,16.39,000623,102,3,1,1,64
14,15.0,124.94,6.29,15.21,000623,102,3,1,1,64
15,15.02,119.83,6.02,14.82,000623,102,3,1,1,64
16,13.96,112.73,5.84,14.5,000623,102,3,1,1,64
17,12.42,102.41,4.9,13.01,000623,102,3,1,1,64
