epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,12.35,98.82,16.77,97.46,002498,102,3,1,1,64
1,11.55,94.39,15.56,94.0,002498,102,3,1,1,64
2,10.48,89.35,13.64,88.27,002498,102,3,1,1,64
3,8.8,81.69,10.54,77.93,002498,102,3,1,1,64
4,6.41,70.04,6.02,58.57,002498,102,3,1,1,64
5,3.56,52.39,2.04,29.27,002498,102,3,1,1,64
6,1.74,33.06,1.86,28.44,002498,102,3,1,1,64
7,1.23,28.44,1.38,24.93,002498,102,3,1,1,64
8,1.25,35.97,0.59,16.23,002498,102,3,1,1,64
9,1.14,35.66,0.38,12.38,002498,102,3,1,1,64
10,0.97,29.62,0.34,11.44,002498,102,3,1,1,64
11,0.8,23.72,0.23,9.43,002498,102,3,1,1,64
12,0.65,19.63,0.18,8.76,002498,102,3,1,1,64
13,0.52,16.01,0.24,9.78,002498,102,3,1,1,64
14,0.46,14.49,0.28,10.99,002498,102,3,1,1,64
15,0.57,15.43,0.23,10.03,002498,102,3,1,1,64
16,0.47,13.97,0.16,7.89,002498,102,3,1,1,64
17,0.44,12.79,0.13,6.98,002498,102,3,1,1,64
18,0.43,12.53,0.12,6.75,002498,102,3,1,1,64
19,0.43,11.58,0.12,6.47,002498,102,3,1,1,64
20,0.39,11.44,0.11,6.12,002498,102,3,1,1,64
21,0.44,11.38,0.1,5.94,002498,102,3,1,1,64
22,0.4,11.25,0.1,5.86,002498,102,3,1,1,64
23,0.36,10.81,0.1,5.63,002498,102,3,1,1,64
24,0.38,10.78,0.09,5.57,002498,102,3,1,1,64
25,0.34,10.69,0.1,5.7,002498,102,3,1,1,64
26,0.32,10.68,0.11,6.08,002498,102,3,1,1,64
27,0.27,10.64,0.11,6.02,002498,102,3,1,1,64
28,0.29,10.35,0.1,5.7,002498,102,3,1,1,64
29,0.28,10.79,0.07,4.81,002498,102,3,1,1,64
30,0.27,10.82,0.07,4.69,002498,102,3,1,1,64
31,0.26,10.14,0.08,4.92,002498,102,3,1,1,64
32,0.27,10.31,0.09,5.19,002498,102,3,1,1,64
33,0.28,10.12,0.08,5.03,002498,102,3,1,1,64
34,0.24,9.98,0.08,4.9,002498,102,3,1,1,64
35,0.24,9.44,0.08,4.82,002498,102,3,1,1,64
36,0.21,9.66,0.08,4.88,002498,102,3,1,1,64
37,0.22,9.58,0.08,4.84,002498,102,3,1,1,64
38,0.23,9.6,0.08,5.06,002498,102,3,1,1,64
39,0.22,9.16,0.07,4.87,002498,102,3,1,1,64
40,0.2,9.48,0.06,4.74,002498,102,3,1,1,64
41,0.22,9.56,0.08,4.9,002498,102,3,1,1,64
42,0.19,8.84,0.08,5.01,002498,102,3,1,1,64
43,0.22,8.76,0.06,4.75,002498,102,3,1,1,64
44,0.24,9.68,0.07,4.49,002498,102,3,1,1,64
45,0.19,9.64,0.09,5.15,002498,102,3,1,1,64
46,0.19,9.2,0.06,4.36,002498,102,3,1,1,64
47,0.17,8.98,0.05,4.2,002498,102,3,1,1,64
48,0.18,9.08,0.05,4.16,002498,102,3,1,1,64
49,0.21,9.34,0.06,4.24,002498,102,3,1,1,64
