epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,28.51,44.71,4.14,18.75,600136,102,3,1,1,64
1,2.61,16.91,1.69,15.32,600136,102,3,1,1,64
2,1.83,13.09,0.68,9.02,600136,102,3,1,1,64
3,1.29,12.93,0.72,8.98,600136,102,3,1,1,64
4,1.48,12.25,0.73,9.34,600136,102,3,1,1,64
5,0.93,10.47,0.29,6.14,600136,102,3,1,1,64
6,1.03,9.8,1.11,11.97,600136,102,3,1,1,64
7,1.1,10.78,0.58,8.91,600136,102,3,1,1,64
8,0.84,9.33,0.17,5.24,600136,102,3,1,1,64
9,0.75,8.6,0.46,6.48,600136,102,3,1,1,64
10,1.0,9.74,0.27,8.13,600136,102,3,1,1,64
11,0.7,8.79,0.85,9.86,600136,102,3,1,1,64
12,0.79,8.24,0.16,4.19,600136,102,3,1,1,64
13,0.84,8.71,0.87,9.4,600136,102,3,1,1,64
14,0.62,8.85,0.48,7.82,600136,102,3,1,1,64
15,0.96,8.76,0.44,8.01,600136,102,3,1,1,64
16,0.87,9.19,0.23,4.9,600136,102,3,1,1,64
17,0.74,8.52,0.44,10.51,600136,102,3,1,1,64
18,0.67,8.37,0.23,8.83,600136,102,3,1,1,64
19,0.81,8.66,0.24,6.37,600136,102,3,1,1,64
20,0.97,9.82,0.18,4.3,600136,102,3,1,1,64
21,0.55,7.94,0.51,6.89,600136,102,3,1,1,64
22,0.72,8.1,0.26,9.37,600136,102,3,1,1,64
