epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,51.87,98.45,18.2,96.8,000150,102,3,1,1,64
1,49.51,93.31,17.22,93.26,000150,102,3,1,1,64
2,45.77,87.13,15.59,87.71,000150,102,3,1,1,64
3,38.02,75.96,12.62,78.04,000150,102,3,1,1,64
4,24.02,54.68,7.6,59.35,000150,102,3,1,1,64
5,8.85,35.73,3.37,38.85,000150,102,3,1,1,64
6,4.19,54.13,4.31,43.7,000150,102,3,1,1,64
7,4.42,34.93,4.68,47.59,000150,102,3,1,1,64
8,3.64,38.24,3.78,47.49,000150,102,3,1,1,64
9,3.31,41.16,2.49,39.21,000150,102,3,1,1,64
10,2.44,29.59,1.58,26.4,000150,102,3,1,1,64
11,1.95,18.72,1.29,16.81,000150,102,3,1,1,64
12,1.81,21.33,1.28,16.14,000150,102,3,1,1,64
13,1.46,21.39,1.3,17.16,000150,102,3,1,1,64
14,1.46,18.52,1.35,18.93,000150,102,3,1,1,64
15,1.42,18.04,1.24,18.61,000150,102,3,1,1,64
16,1.35,17.18,1.16,16.96,000150,102,3,1,1,64
17,1.31,18.83,1.13,16.23,000150,102,3,1,1,64
18,1.24,19.38,1.07,15.99,000150,102,3,1,1,64
19,1.22,19.11,1.08,16.01,000150,102,3,1,1,64
20,1.06,18.35,1.07,16.23,000150,102,3,1,1,64
21,0.98,17.53,1.02,16.37,000150,102,3,1,1,64
22,1.09,17.65,1.15,16.3,000150,102,3,1,1,64
23,0.94,17.39,1.03,16.6,000150,102,3,1,1,64
24,1.0,17.04,1.06,16.83,000150,102,3,1,1,64
25,0.99,16.27,1.08,17.24,000150,102,3,1,1,64
26,1.32,17.12,0.9,17.31,000150,102,3,1,1,64
27,1.33,17.32,1.22,17.03,000150,102,3,1,1,64
28,0.96,16.63,0.89,18.42,000150,102,3,1,1,64
29,0.93,15.3,0.96,17.37,000150,102,3,1,1,64
30,1.01,16.52,0.96,17.74,000150,102,3,1,1,64
31,0.92,15.58,0.89,18.31,000150,102,3,1,1,64
32,0.97,15.7,0.93,17.2,000150,102,3,1,1,64
33,0.88,15.53,0.9,17.39,000150,102,3,1,1,64
34,0.76,15.12,0.95,17.92,000150,102,3,1,1,64
35,0.73,14.72,0.93,18.61,000150,102,3,1,1,64
36,0.73,14.48,0.94,18.63,000150,102,3,1,1,64
37,0.77,15.06,0.93,18.51,000150,102,3,1,1,64
38,0.85,14.8,0.98,19.52,000150,102,3,1,1,64
39,0.79,14.93,0.99,20.33,000150,102,3,1,1,64
40,0.85,14.76,1.02,19.84,000150,102,3,1,1,64
41,1.11,14.99,0.94,19.48,000150,102,3,1,1,64
