epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,129.36,99.78,48.82,98.63,002383,102,3,1,1,64
1,127.24,98.64,47.49,97.2,002383,102,3,1,1,64
2,124.31,97.24,45.67,95.23,002383,102,3,1,1,64
3,119.52,95.01,42.99,92.24,002383,102,3,1,1,64
4,111.48,91.42,38.82,87.45,002383,102,3,1,1,64
5,97.53,85.39,32.22,79.32,002383,102,3,1,1,64
6,75.4,74.73,22.03,64.81,002383,102,3,1,1,64
7,45.73,56.51,9.05,39.6,002383,102,3,1,1,64
8,17.55,29.77,1.82,15.26,002383,102,3,1,1,64
9,6.57,19.56,7.88,35.67,002383,102,3,1,1,64
10,9.59,31.17,9.58,36.93,002383,102,3,1,1,64
11,8.87,27.41,6.73,25.21,002383,102,3,1,1,64
12,5.86,17.87,7.52,32.45,002383,102,3,1,1,64
13,6.4,19.87,7.24,33.63,002383,102,3,1,1,64
14,7.05,20.33,5.0,26.36,002383,102,3,1,1,64
15,5.85,16.12,3.39,18.51,002383,102,3,1,1,64
16,5.43,14.55,3.1,16.82,002383,102,3,1,1,64
17,4.86,15.59,3.12,17.16,002383,102,3,1,1,64
18,5.22,16.47,2.91,16.33,002383,102,3,1,1,64
