epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,97.88,99.57,40.27,98.53,600292,102,3,1,1,64
1,95.6,97.38,38.85,96.61,600292,102,3,1,1,64
2,92.1,94.66,36.56,93.44,600292,102,3,1,1,64
3,85.43,90.12,32.58,87.65,600292,102,3,1,1,64
4,72.27,81.45,25.39,76.16,600292,102,3,1,1,64
5,48.39,63.81,13.43,51.78,600292,102,3,1,1,64
6,18.84,32.24,3.01,17.37,600292,102,3,1,1,64
7,7.39,26.92,6.04,38.26,600292,102,3,1,1,64
8,9.88,39.27,3.22,24.07,600292,102,3,1,1,64
9,7.46,26.15,2.48,21.31,600292,102,3,1,1,64
10,6.69,31.1,4.01,30.8,600292,102,3,1,1,64
11,6.41,29.76,3.24,27.45,600292,102,3,1,1,64
12,5.51,21.43,1.81,18.62,600292,102,3,1,1,64
13,4.41,15.61,1.23,11.82,600292,102,3,1,1,64
14,4.2,17.81,1.08,10.32,600292,102,3,1,1,64
15,3.62,17.71,1.06,12.1,600292,102,3,1,1,64
16,3.52,15.89,1.19,14.8,600292,102,3,1,1,64
17,3.13,14.26,1.23,15.6,600292,102,3,1,1,64
18,2.97,13.75,1.03,13.75,600292,102,3,1,1,64
19,2.72,14.05,0.79,11.08,600292,102,3,1,1,64
20,2.66,14.68,0.74,10.4,600292,102,3,1,1,64
21,2.55,14.84,0.82,11.12,600292,102,3,1,1,64
22,2.7,14.82,0.88,11.49,600292,102,3,1,1,64
23,2.07,13.94,0.88,11.05,600292,102,3,1,1,64
24,2.17,13.79,0.93,11.08,600292,102,3,1,1,64
