epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,87.63,99.95,35.14,99.08,002591,102,3,1,1,64
1,86.13,98.87,34.41,97.93,002591,102,3,1,1,64
2,84.28,97.63,33.47,96.43,002591,102,3,1,1,64
3,81.57,95.86,32.21,94.39,002591,102,3,1,1,64
4,77.39,93.29,30.49,91.5,002591,102,3,1,1,64
5,70.77,89.22,28.02,87.2,002591,102,3,1,1,64
6,61.16,82.91,24.45,80.47,002591,102,3,1,1,64
7,46.66,72.58,19.33,69.34,002591,102,3,1,1,64
8,29.11,55.91,12.81,50.2,002591,102,3,1,1,64
9,12.23,30.93,8.04,36.16,002591,102,3,1,1,64
10,4.66,19.43,8.48,44.32,002591,102,3,1,1,64
11,7.27,33.18,7.16,41.57,002591,102,3,1,1,64
12,7.97,35.04,3.89,27.85,002591,102,3,1,1,64
13,4.18,20.69,4.37,27.11,002591,102,3,1,1,64
14,3.43,16.2,6.54,38.37,002591,102,3,1,1,64
15,4.51,22.05,7.13,41.08,002591,102,3,1,1,64
16,4.66,22.77,5.98,36.71,002591,102,3,1,1,64
17,4.3,19.59,4.26,28.52,002591,102,3,1,1,64
18,3.46,14.76,2.99,20.92,002591,102,3,1,1,64
19,2.69,12.18,2.46,18.67,002591,102,3,1,1,64
20,2.78,13.55,2.4,19.31,002591,102,3,1,1,64
21,2.72,15.27,2.46,19.32,002591,102,3,1,1,64
22,2.68,14.62,2.63,18.93,002591,102,3,1,1,64
23,2.08,12.23,2.92,19.57,002591,102,3,1,1,64
24,2.24,11.87,3.23,20.74,002591,102,3,1,1,64
