epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,24.92,97.21,13.73,94.38,000965,102,3,1,1,64
1,22.57,90.29,12.19,87.8,000965,102,3,1,1,64
2,17.55,78.19,9.4,75.84,000965,102,3,1,1,64
3,7.37,51.79,4.27,49.67,000965,102,3,1,1,64
4,2.19,29.29,0.81,12.88,000965,102,3,1,1,64
5,1.67,31.06,1.14,21.51,000965,102,3,1,1,64
6,0.98,21.21,1.81,31.31,000965,102,3,1,1,64
7,1.12,21.48,1.28,24.67,000965,102,3,1,1,64
8,0.69,18.41,0.67,13.55,000965,102,3,1,1,64
9,0.78,20.0,0.67,14.71,000965,102,3,1,1,64
10,0.69,16.36,0.94,20.7,000965,102,3,1,1,64
11,0.67,14.7,0.95,20.24,000965,102,3,1,1,64
12,0.61,14.74,0.73,14.53,000965,102,3,1,1,64
13,0.61,15.52,0.68,12.9,000965,102,3,1,1,64
14,0.54,14.99,0.78,15.66,000965,102,3,1,1,64
15,0.52,13.84,0.85,16.91,000965,102,3,1,1,64
16,0.52,13.11,0.78,14.86,000965,102,3,1,1,64
17,0.45,13.22,0.71,13.31,000965,102,3,1,1,64
18,0.46,12.91,0.73,14.08,000965,102,3,1,1,64
