epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,203.09,99.42,84.95,98.67,603099,103,3,1,1,64
1,193.15,97.23,81.66,96.66,603099,103,3,1,1,64
2,166.79,91.86,76.66,93.55,603099,103,3,1,1,64
3,113.4,78.43,67.81,87.69,603099,103,3,1,1,64
4,59.92,56.8,45.95,68.84,603099,103,3,1,1,64
5,23.25,32.44,5.56,20.55,603099,103,3,1,1,64
6,13.32,25.83,6.03,20.97,603099,103,3,1,1,64
7,12.58,21.59,7.74,25.58,603099,103,3,1,1,64
8,10.64,18.57,4.04,16.94,603099,103,3,1,1,64
9,8.81,16.22,2.12,12.62,603099,103,3,1,1,64
10,8.59,15.54,1.88,12.07,603099,103,3,1,1,64
11,8.74,14.35,2.58,13.57,603099,103,3,1,1,64
12,6.67,12.8,2.51,13.4,603099,103,3,1,1,64
13,7.43,14.49,1.77,11.85,603099,103,3,1,1,64
14,6.09,12.0,1.94,12.19,603099,103,3,1,1,64
15,9.24,13.63,2.42,13.23,603099,103,3,1,1,64
16,6.89,12.13,1.93,12.18,603099,103,3,1,1,64
17,4.33,10.89,1.97,12.28,603099,103,3,1,1,64
18,7.12,11.98,1.93,12.21,603099,103,3,1,1,64
19,7.79,13.21,1.98,12.28,603099,103,3,1,1,64
20,6.41,11.67,2.39,13.14,603099,103,3,1,1,64
21,5.49,12.22,2.15,12.59,603099,103,3,1,1,64
22,5.87,11.15,3.16,14.62,603099,103,3,1,1,64
23,5.69,12.0,2.58,13.43,603099,103,3,1,1,64
