epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,52.82,99.58,53.4,99.26,600080,103,3,1,1,64
1,52.09,98.49,52.75,98.64,600080,103,3,1,1,64
2,51.41,97.66,51.97,97.89,600080,103,3,1,1,64
3,50.59,96.76,50.99,96.98,600080,103,3,1,1,64
4,49.52,95.82,49.74,95.81,600080,103,3,1,1,64
5,48.2,94.65,48.14,94.3,600080,103,3,1,1,64
6,46.54,93.37,46.03,92.28,600080,103,3,1,1,64
7,44.07,91.56,43.23,89.54,600080,103,3,1,1,64
8,41.14,89.32,39.46,85.72,600080,103,3,1,1,64
9,37.01,86.23,34.43,80.28,600080,103,3,1,1,64
10,32.13,82.38,27.93,72.48,600080,103,3,1,1,64
11,25.46,76.31,20.17,61.38,600080,103,3,1,1,64
12,18.83,68.94,12.3,46.96,600080,103,3,1,1,64
13,12.25,58.89,6.54,32.18,600080,103,3,1,1,64
14,7.69,49.14,4.95,27.32,600080,103,3,1,1,64
15,6.25,45.67,7.38,34.04,600080,103,3,1,1,64
16,7.13,47.97,10.56,40.51,600080,103,3,1,1,64
17,8.25,49.91,11.61,42.89,600080,103,3,1,1,64
18,8.36,49.67,10.34,40.8,600080,103,3,1,1,64
19,7.6,46.77,7.92,35.69,600080,103,3,1,1,64
20,5.88,42.01,5.57,29.7,600080,103,3,1,1,64
21,4.33,36.1,3.87,24.13,600080,103,3,1,1,64
22,3.57,31.86,2.81,19.81,600080,103,3,1,1,64
23,3.07,27.68,2.21,17.55,600080,103,3,1,1,64
24,2.75,24.17,1.91,16.34,600080,103,3,1,1,64
