epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,128.07,93.53,34.51,72.43,000826,103,3,1,1,64
1,25.86,46.44,40.27,70.55,000826,103,3,1,1,64
2,11.36,32.02,10.09,29.0,000826,103,3,1,1,64
3,7.85,24.19,8.33,23.18,000826,103,3,1,1,64
4,4.48,21.74,7.17,21.59,000826,103,3,1,1,64
5,4.15,18.04,7.41,22.13,000826,103,3,1,1,64
6,3.18,16.08,3.73,20.63,000826,103,3,1,1,64
7,3.06,14.73,5.49,23.52,000826,103,3,1,1,64
8,2.92,16.83,4.81,23.58,000826,103,3,1,1,64
9,2.14,14.84,3.56,24.4,000826,103,3,1,1,64
10,2.0,14.43,3.64,24.45,000826,103,3,1,1,64
11,1.72,12.46,2.91,23.53,000826,103,3,1,1,64
12,2.03,12.77,3.6,26.27,000826,103,3,1,1,64
13,1.56,11.66,3.16,24.45,000826,103,3,1,1,64
14,1.88,12.43,6.05,33.96,000826,103,3,1,1,64
15,1.92,14.08,2.98,25.62,000826,103,3,1,1,64
16,1.46,12.33,1.88,18.45,000826,103,3,1,1,64
17,1.4,10.26,1.56,16.91,000826,103,3,1,1,64
18,1.53,10.25,2.47,21.94,000826,103,3,1,1,64
19,1.26,9.1,2.07,19.56,000826,103,3,1,1,64
20,1.78,10.58,2.18,20.13,000826,103,3,1,1,64
21,1.53,10.1,1.88,18.52,000826,103,3,1,1,64
22,1.78,10.06,3.6,24.07,000826,103,3,1,1,64
23,1.98,9.71,2.21,20.04,000826,103,3,1,1,64
24,1.52,11.25,0.88,12.48,000826,103,3,1,1,64
25,1.64,12.42,1.37,15.78,000826,103,3,1,1,64
26,1.79,11.24,2.46,20.3,000826,103,3,1,1,64
27,1.44,10.34,1.31,15.22,000826,103,3,1,1,64
28,1.37,9.09,1.22,14.46,000826,103,3,1,1,64
29,2.26,10.99,1.67,16.58,000826,103,3,1,1,64
30,1.55,11.39,2.43,20.22,000826,103,3,1,1,64
31,1.13,9.23,2.09,18.36,000826,103,3,1,1,64
32,1.16,8.1,1.34,15.06,000826,103,3,1,1,64
33,0.96,9.0,1.43,15.26,000826,103,3,1,1,64
34,1.56,8.9,1.79,17.91,000826,103,3,1,1,64
