epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,65.01,99.96,128.58,99.81,000803,103,3,1,1,64
1,64.28,99.13,127.52,99.41,000803,103,3,1,1,64
2,63.77,98.65,126.45,98.99,000803,103,3,1,1,64
3,63.23,98.19,125.24,98.51,000803,103,3,1,1,64
4,62.64,97.63,123.76,97.92,000803,103,3,1,1,64
5,61.91,97.06,121.88,97.18,000803,103,3,1,1,64
6,60.87,96.38,119.4,96.2,000803,103,3,1,1,64
7,59.82,95.56,116.08,94.88,000803,103,3,1,1,64
8,58.19,94.71,111.58,93.08,000803,103,3,1,1,64
9,56.24,93.52,105.52,90.61,000803,103,3,1,1,64
10,53.72,92.1,97.49,87.21,000803,103,3,1,1,64
11,50.07,90.06,87.18,82.59,000803,103,3,1,1,64
12,46.02,87.7,74.57,76.43,000803,103,3,1,1,64
13,41.53,84.94,60.1,68.43,000803,103,3,1,1,64
14,36.05,80.67,44.75,58.45,000803,103,3,1,1,64
15,30.82,75.74,30.07,46.68,000803,103,3,1,1,64
16,24.92,68.62,17.61,33.48,000803,103,3,1,1,64
17,18.7,60.61,8.71,20.11,000803,103,3,1,1,64
18,14.18,51.88,4.17,13.1,000803,103,3,1,1,64
19,10.62,43.08,3.94,15.9,000803,103,3,1,1,64
20,7.23,34.61,7.3,23.5,000803,103,3,1,1,64
21,7.12,31.38,12.86,32.59,000803,103,3,1,1,64
22,9.02,37.54,18.8,39.89,000803,103,3,1,1,64
23,12.31,46.74,23.47,44.96,000803,103,3,1,1,64
24,14.19,51.23,26.06,47.52,000803,103,3,1,1,64
