epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,22.9,100.17,69.12,99.59,600810,103,3,1,1,64
1,22.56,98.97,68.31,98.96,600810,103,3,1,1,64
2,22.24,97.72,67.38,98.23,600810,103,3,1,1,64
3,21.87,96.35,66.22,97.31,600810,103,3,1,1,64
4,21.38,94.55,64.7,96.09,600810,103,3,1,1,64
5,20.78,92.17,62.62,94.42,600810,103,3,1,1,64
6,19.97,89.13,59.75,92.07,600810,103,3,1,1,64
7,18.88,84.69,55.79,88.75,600810,103,3,1,1,64
8,17.45,78.79,50.34,83.96,600810,103,3,1,1,64
9,15.43,71.29,42.96,77.02,600810,103,3,1,1,64
10,12.86,62.08,33.49,67.0,600810,103,3,1,1,64
11,9.64,52.77,22.54,52.97,600810,103,3,1,1,64
12,6.13,44.74,11.87,34.38,600810,103,3,1,1,64
13,3.66,43.4,4.56,18.09,600810,103,3,1,1,64
14,2.8,52.7,3.26,20.03,600810,103,3,1,1,64
15,3.88,61.04,3.93,23.42,600810,103,3,1,1,64
16,3.86,52.32,3.62,22.22,600810,103,3,1,1,64
17,2.92,37.98,3.35,19.77,600810,103,3,1,1,64
18,2.35,31.69,3.98,18.75,600810,103,3,1,1,64
19,2.06,29.95,5.28,19.96,600810,103,3,1,1,64
20,2.12,28.64,6.7,22.12,600810,103,3,1,1,64
21,1.97,26.35,7.77,23.99,600810,103,3,1,1,64
22,1.99,27.13,8.25,24.78,600810,103,3,1,1,64
23,2.01,29.77,8.15,24.43,600810,103,3,1,1,64
24,1.91,32.41,7.69,23.33,600810,103,3,1,1,64
