epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,89.93,100.04,40.92,99.86,002708,103,3,1,1,64
1,89.31,99.71,40.69,99.57,002708,103,3,1,1,64
2,88.72,99.37,40.49,99.31,002708,103,3,1,1,64
3,88.17,99.08,40.29,99.06,002708,103,3,1,1,64
4,87.51,98.73,40.1,98.81,002708,103,3,1,1,64
5,86.61,98.31,39.9,98.55,002708,103,3,1,1,64
6,85.85,97.92,39.68,98.26,002708,103,3,1,1,64
7,84.71,97.38,39.44,97.95,002708,103,3,1,1,64
8,83.46,96.78,39.18,97.61,002708,103,3,1,1,64
9,81.99,96.08,38.91,97.24,002708,103,3,1,1,64
10,80.09,95.23,38.6,96.83,002708,103,3,1,1,64
11,78.23,94.28,38.28,96.38,002708,103,3,1,1,64
12,75.42,92.93,37.92,95.89,002708,103,3,1,1,64
13,72.12,91.38,37.53,95.34,002708,103,3,1,1,64
14,69.14,89.83,37.09,94.73,002708,103,3,1,1,64
15,65.7,87.97,36.62,94.04,002708,103,3,1,1,64
16,61.55,85.77,36.09,93.25,002708,103,3,1,1,64
17,56.29,82.71,35.52,92.35,002708,103,3,1,1,64
18,51.07,79.47,34.87,91.3,002708,103,3,1,1,64
19,47.22,76.72,34.15,90.07,002708,103,3,1,1,64
20,41.96,72.64,33.37,88.63,002708,103,3,1,1,64
21,37.46,68.03,32.52,86.93,002708,103,3,1,1,64
22,33.16,64.0,31.62,84.96,002708,103,3,1,1,64
23,29.41,59.77,30.69,82.7,002708,103,3,1,1,64
24,24.82,55.17,29.75,80.11,002708,103,3,1,1,64
25,22.72,51.13,28.83,77.22,002708,103,3,1,1,64
26,20.6,48.47,27.89,74.79,002708,103,3,1,1,64
27,18.33,46.93,26.84,73.46,002708,103,3,1,1,64
28,15.7,43.73,25.46,72.35,002708,103,3,1,1,64
29,14.57,42.79,23.72,70.36,002708,103,3,1,1,64
30,13.45,41.57,21.3,67.97,002708,103,3,1,1,64
31,12.07,38.92,17.91,63.2,002708,103,3,1,1,64
32,11.35,37.07,14.0,56.16,002708,103,3,1,1,64
33,10.58,34.53,10.17,47.17,002708,103,3,1,1,64
34,10.62,33.49,7.06,37.07,002708,103,3,1,1,64
35,10.56,31.42,5.02,27.94,002708,103,3,1,1,64
36,9.15,29.1,4.07,23.05,002708,103,3,1,1,64
37,8.44,28.07,3.79,23.67,002708,103,3,1,1,64
38,8.89,30.45,3.69,25.49,002708,103,3,1,1,64
39,8.35,30.3,3.51,25.98,002708,103,3,1,1,64
40,6.62,26.74,3.19,25.34,002708,103,3,1,1,64
41,7.32,27.71,2.79,23.86,002708,103,3,1,1,64
42,6.56,26.58,2.35,21.77,002708,103,3,1,1,64
43,5.32,22.04,1.96,19.63,002708,103,3,1,1,64
44,4.98,19.98,1.67,17.47,002708,103,3,1,1,64
45,5.57,20.49,1.47,15.74,002708,103,3,1,1,64
46,5.46,20.14,1.36,14.54,002708,103,3,1,1,64
47,6.0,20.6,1.33,13.93,002708,103,3,1,1,64
48,4.8,15.92,1.34,13.56,002708,103,3,1,1,64
49,5.58,16.98,1.38,13.48,002708,103,3,1,1,64
