epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,16.14,99.82,8.74,98.58,000005,103,3,1,1,64
1,15.79,98.35,8.54,97.43,000005,103,3,1,1,64
2,15.4,96.94,8.31,96.14,000005,103,3,1,1,64
3,14.88,95.29,8.02,94.63,000005,103,3,1,1,64
4,14.21,93.27,7.66,92.81,000005,103,3,1,1,64
5,13.35,90.85,7.21,90.58,000005,103,3,1,1,64
6,12.1,87.49,6.62,87.72,000005,103,3,1,1,64
7,10.74,83.58,5.85,83.95,000005,103,3,1,1,64
8,8.82,77.85,4.9,78.81,000005,103,3,1,1,64
9,6.63,70.55,3.81,71.67,000005,103,3,1,1,64
10,4.7,61.79,2.8,61.79,000005,103,3,1,1,64
11,3.27,55.44,2.22,55.2,000005,103,3,1,1,64
12,2.65,52.45,2.19,51.66,000005,103,3,1,1,64
13,3.25,54.86,2.21,48.58,000005,103,3,1,1,64
14,3.16,52.02,1.87,41.63,000005,103,3,1,1,64
15,3.02,46.99,1.27,32.47,000005,103,3,1,1,64
16,2.47,39.49,0.7,23.03,000005,103,3,1,1,64
17,1.73,28.65,0.34,15.25,000005,103,3,1,1,64
18,1.34,21.63,0.18,10.5,000005,103,3,1,1,64
19,1.32,20.66,0.13,10.17,000005,103,3,1,1,64
20,1.45,23.04,0.14,11.77,000005,103,3,1,1,64
21,1.57,26.3,0.16,13.73,000005,103,3,1,1,64
22,1.41,26.55,0.2,15.5,000005,103,3,1,1,64
23,1.53,29.58,0.23,16.92,000005,103,3,1,1,64
24,1.36,28.74,0.27,18.01,000005,103,3,1,1,64
