epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,156.46,100.03,270.28,100.02,605366,103,3,1,1,64
1,155.79,99.76,270.13,100.0,605366,103,3,1,1,64
2,155.12,99.48,270.02,99.98,605366,103,3,1,1,64
3,154.39,99.19,269.93,99.96,605366,103,3,1,1,64
4,153.51,98.82,269.87,99.95,605366,103,3,1,1,64
5,152.37,98.33,269.85,99.94,605366,103,3,1,1,64
6,151.26,97.84,269.86,99.95,605366,103,3,1,1,64
7,150.0,97.35,269.89,99.95,605366,103,3,1,1,64
8,148.35,96.61,269.96,99.97,605366,103,3,1,1,64
9,146.57,95.81,270.07,99.99,605366,103,3,1,1,64
10,144.14,94.75,270.21,100.02,605366,103,3,1,1,64
11,141.54,93.54,270.38,100.05,605366,103,3,1,1,64
12,137.76,91.79,270.59,100.09,605366,103,3,1,1,64
13,134.84,90.63,270.83,100.13,605366,103,3,1,1,64
14,129.71,87.84,271.11,100.19,605366,103,3,1,1,64
15,122.53,84.99,271.42,100.25,605366,103,3,1,1,64
