epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,109.87,99.04,45.89,98.54,603169,103,3,1,1,64
1,101.85,95.82,43.66,96.06,603169,103,3,1,1,64
2,77.49,86.4,38.96,90.67,603169,103,3,1,1,64
3,36.03,62.78,26.55,73.5,603169,103,3,1,1,64
4,14.69,36.48,3.55,21.4,603169,103,3,1,1,64
5,14.49,38.37,5.51,29.18,603169,103,3,1,1,64
6,11.14,23.52,5.91,30.4,603169,103,3,1,1,64
7,8.19,20.39,3.45,22.05,603169,103,3,1,1,64
8,7.43,14.2,3.18,20.65,603169,103,3,1,1,64
9,8.55,19.14,3.65,21.94,603169,103,3,1,1,64
10,7.62,14.4,4.45,25.46,603169,103,3,1,1,64
11,5.65,13.95,3.53,22.0,603169,103,3,1,1,64
12,5.37,14.38,3.98,22.66,603169,103,3,1,1,64
13,4.23,13.27,2.5,16.8,603169,103,3,1,1,64
14,5.41,14.46,2.06,14.23,603169,103,3,1,1,64
15,5.25,15.0,1.74,12.83,603169,103,3,1,1,64
16,5.65,14.68,2.15,15.61,603169,103,3,1,1,64
17,4.56,12.84,1.5,12.14,603169,103,3,1,1,64
18,4.56,15.06,1.41,11.92,603169,103,3,1,1,64
19,4.78,13.15,2.02,15.18,603169,103,3,1,1,64
20,3.98,12.29,1.75,13.74,603169,103,3,1,1,64
21,3.79,11.83,1.65,13.37,603169,103,3,1,1,64
22,4.54,12.26,1.71,13.71,603169,103,3,1,1,64
23,3.79,13.39,1.53,12.6,603169,103,3,1,1,64
24,4.0,12.13,1.84,14.32,603169,103,3,1,1,64
25,3.27,11.73,1.39,12.15,603169,103,3,1,1,64
26,3.67,12.6,1.41,12.19,603169,103,3,1,1,64
27,3.39,13.17,1.53,12.92,603169,103,3,1,1,64
28,4.8,12.69,1.64,13.91,603169,103,3,1,1,64
29,3.3,12.01,1.01,11.73,603169,103,3,1,1,64
30,3.55,11.72,1.36,12.02,603169,103,3,1,1,64
31,3.63,11.41,1.07,10.92,603169,103,3,1,1,64
32,1.98,9.81,1.01,10.65,603169,103,3,1,1,64
33,2.47,11.56,0.86,10.08,603169,103,3,1,1,64
34,2.25,11.05,0.8,9.82,603169,103,3,1,1,64
35,2.39,10.64,1.15,11.44,603169,103,3,1,1,64
36,3.1,10.43,1.16,11.48,603169,103,3,1,1,64
37,2.5,11.04,1.69,14.57,603169,103,3,1,1,64
38,2.01,9.63,1.02,10.99,603169,103,3,1,1,64
39,3.05,12.06,1.17,11.78,603169,103,3,1,1,64
40,2.03,9.4,0.68,9.44,603169,103,3,1,1,64
41,2.01,11.16,1.35,12.67,603169,103,3,1,1,64
42,2.29,9.57,1.27,12.2,603169,103,3,1,1,64
43,1.56,8.83,1.4,13.21,603169,103,3,1,1,64
44,3.48,9.32,0.64,9.33,603169,103,3,1,1,64
45,2.8,12.18,1.35,12.85,603169,103,3,1,1,64
46,2.99,11.77,0.73,9.88,603169,103,3,1,1,64
47,1.98,10.94,1.16,11.8,603169,103,3,1,1,64
48,2.85,11.52,0.67,9.36,603169,103,3,1,1,64
49,2.16,11.52,1.03,11.3,603169,103,3,1,1,64
50,1.5,10.4,1.21,12.11,603169,103,3,1,1,64
51,1.77,10.4,0.8,10.07,603169,103,3,1,1,64
52,1.13,8.79,1.29,12.54,603169,103,3,1,1,64
53,1.58,10.28,0.81,10.12,603169,103,3,1,1,64
54,2.4,12.65,1.3,12.54,603169,103,3,1,1,64
