epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,34.08,100.45,31.78,98.88,600649,103,3,1,1,64
1,33.46,101.17,31.15,97.98,600649,103,3,1,1,64
2,32.82,101.32,30.36,96.86,600649,103,3,1,1,64
3,31.86,100.73,29.33,95.38,600649,103,3,1,1,64
4,30.8,101.18,27.94,93.4,600649,103,3,1,1,64
5,29.11,100.21,26.05,90.63,600649,103,3,1,1,64
6,27.05,98.7,23.48,86.68,600649,103,3,1,1,64
7,24.0,96.15,20.08,81.01,600649,103,3,1,1,64
8,20.77,92.97,15.78,72.79,600649,103,3,1,1,64
9,16.88,88.72,10.83,61.06,600649,103,3,1,1,64
10,12.83,80.41,5.93,44.86,600649,103,3,1,1,64
11,8.97,72.95,2.35,27.4,600649,103,3,1,1,64
12,6.28,69.37,1.63,20.07,600649,103,3,1,1,64
13,5.27,65.24,4.64,32.66,600649,103,3,1,1,64
14,5.61,64.97,9.78,51.28,600649,103,3,1,1,64
15,6.82,67.82,13.25,62.72,600649,103,3,1,1,64
16,7.19,64.53,13.1,63.2,600649,103,3,1,1,64
17,6.28,63.71,10.34,55.77,600649,103,3,1,1,64
18,5.82,62.37,6.78,44.01,600649,103,3,1,1,64
19,4.48,59.54,3.87,31.44,600649,103,3,1,1,64
20,3.6,56.11,2.04,21.42,600649,103,3,1,1,64
21,3.49,57.72,1.11,14.81,600649,103,3,1,1,64
22,3.39,60.9,0.73,11.8,600649,103,3,1,1,64
23,3.08,65.37,0.59,10.55,600649,103,3,1,1,64
24,3.21,72.62,0.55,10.09,600649,103,3,1,1,64
