epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,49.28,98.53,18.86,95.46,002547,103,3,1,1,64
1,41.83,90.76,14.07,81.74,002547,103,3,1,1,64
2,16.4,58.63,3.32,28.0,002547,103,3,1,1,64
3,3.84,29.21,2.9,25.72,002547,103,3,1,1,64
4,2.98,20.14,2.34,23.37,002547,103,3,1,1,64
5,2.43,20.1,3.22,28.89,002547,103,3,1,1,64
6,2.36,18.7,2.52,22.85,002547,103,3,1,1,64
7,2.22,18.0,2.75,23.1,002547,103,3,1,1,64
8,2.21,17.86,2.6,21.78,002547,103,3,1,1,64
9,1.93,15.82,2.47,20.93,002547,103,3,1,1,64
10,1.6,15.66,2.49,20.8,002547,103,3,1,1,64
11,1.31,14.66,2.13,19.86,002547,103,3,1,1,64
12,1.31,14.27,2.02,19.79,002547,103,3,1,1,64
13,1.24,13.38,1.82,18.59,002547,103,3,1,1,64
14,1.06,13.78,2.26,19.9,002547,103,3,1,1,64
15,1.32,13.68,1.55,17.23,002547,103,3,1,1,64
16,1.19,13.01,1.89,18.26,002547,103,3,1,1,64
17,1.12,13.24,1.43,16.31,002547,103,3,1,1,64
18,0.93,11.77,1.49,16.07,002547,103,3,1,1,64
19,0.89,11.45,0.86,14.79,002547,103,3,1,1,64
20,0.82,10.83,1.03,13.97,002547,103,3,1,1,64
21,0.65,10.17,0.81,12.96,002547,103,3,1,1,64
22,0.81,10.93,0.77,13.54,002547,103,3,1,1,64
23,0.55,9.89,0.74,12.32,002547,103,3,1,1,64
24,0.56,9.67,0.71,12.31,002547,103,3,1,1,64
25,0.53,8.86,0.79,13.23,002547,103,3,1,1,64
26,0.6,9.72,0.58,11.0,002547,103,3,1,1,64
27,0.61,10.34,0.48,9.99,002547,103,3,1,1,64
28,0.61,9.52,0.45,9.81,002547,103,3,1,1,64
29,0.51,9.85,0.5,10.85,002547,103,3,1,1,64
30,0.49,9.8,0.58,11.4,002547,103,3,1,1,64
31,0.55,9.67,0.46,10.16,002547,103,3,1,1,64
32,0.66,9.72,0.4,10.52,002547,103,3,1,1,64
33,0.7,9.35,0.52,10.96,002547,103,3,1,1,64
34,0.55,9.51,0.55,13.15,002547,103,3,1,1,64
35,0.63,9.14,0.41,10.14,002547,103,3,1,1,64
36,0.57,9.1,0.56,12.23,002547,103,3,1,1,64
37,0.7,9.38,0.42,10.7,002547,103,3,1,1,64
38,0.52,9.04,0.38,9.81,002547,103,3,1,1,64
39,0.67,9.32,0.26,7.26,002547,103,3,1,1,64
40,0.47,8.43,0.38,10.17,002547,103,3,1,1,64
41,0.36,8.21,0.37,9.88,002547,103,3,1,1,64
42,0.53,8.24,0.26,8.12,002547,103,3,1,1,64
43,0.58,9.15,0.44,9.13,002547,103,3,1,1,64
44,0.79,9.69,0.44,9.73,002547,103,3,1,1,64
45,0.56,9.08,0.46,11.48,002547,103,3,1,1,64
46,0.59,9.62,0.59,11.03,002547,103,3,1,1,64
47,0.54,9.01,0.3,8.14,002547,103,3,1,1,64
48,0.42,7.89,0.3,8.03,002547,103,3,1,1,64
49,0.4,7.57,0.3,7.93,002547,103,3,1,1,64
50,0.36,7.81,0.27,7.71,002547,103,3,1,1,64
51,0.5,8.43,0.25,7.86,002547,103,3,1,1,64
52,0.53,8.47,0.26,7.9,002547,103,3,1,1,64
53,0.43,7.74,0.26,7.84,002547,103,3,1,1,64
54,0.4,8.01,0.26,7.74,002547,103,3,1,1,64
55,0.35,7.46,0.25,7.66,002547,103,3,1,1,64
56,0.35,6.81,0.25,7.87,002547,103,3,1,1,64
57,0.69,8.7,0.28,8.06,002547,103,3,1,1,64
58,0.66,8.92,0.29,8.01,002547,103,3,1,1,64
59,0.36,6.93,0.29,8.1,002547,103,3,1,1,64
60,0.44,7.79,0.28,8.41,002547,103,3,1,1,64
61,0.45,7.33,0.28,8.36,002547,103,3,1,1,64
