epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,19.09,97.37,54.05,99.02,600353,103,3,1,1,64
1,18.65,92.78,53.13,98.0,600353,103,3,1,1,64
2,18.15,89.01,51.96,96.74,600353,103,3,1,1,64
3,17.57,84.97,50.49,95.18,600353,103,3,1,1,64
4,16.88,81.5,48.64,93.2,600353,103,3,1,1,64
5,16.01,77.79,46.24,90.63,600353,103,3,1,1,64
6,14.86,74.31,43.1,87.23,600353,103,3,1,1,64
7,13.56,70.83,39.04,82.66,600353,103,3,1,1,64
8,11.88,66.09,33.85,76.46,600353,103,3,1,1,64
9,9.88,62.04,27.42,67.94,600353,103,3,1,1,64
10,7.52,55.46,19.91,56.14,600353,103,3,1,1,64
11,5.02,47.83,12.12,40.04,600353,103,3,1,1,64
12,3.08,39.08,5.77,22.23,600353,103,3,1,1,64
13,2.18,36.98,3.37,20.16,600353,103,3,1,1,64
14,2.48,38.05,4.19,27.95,600353,103,3,1,1,64
15,2.76,42.19,4.69,30.46,600353,103,3,1,1,64
16,2.31,43.08,4.26,27.3,600353,103,3,1,1,64
17,2.0,47.39,3.89,22.28,600353,103,3,1,1,64
18,1.74,45.18,4.15,18.71,600353,103,3,1,1,64
19,1.55,43.17,4.85,17.01,600353,103,3,1,1,64
20,1.62,42.68,5.63,17.86,600353,103,3,1,1,64
21,1.74,43.41,6.16,18.89,600353,103,3,1,1,64
22,1.65,40.27,6.3,19.2,600353,103,3,1,1,64
23,1.77,40.4,6.09,18.66,600353,103,3,1,1,64
