epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,108.57,99.94,102.21,99.66,600768,103,3,1,1,64
1,107.57,99.35,101.42,99.28,600768,103,3,1,1,64
2,106.69,98.86,100.51,98.83,600768,103,3,1,1,64
3,105.63,98.27,99.38,98.28,600768,103,3,1,1,64
4,104.37,97.6,97.96,97.58,600768,103,3,1,1,64
5,102.63,96.76,96.14,96.68,600768,103,3,1,1,64
6,100.57,95.56,93.75,95.5,600768,103,3,1,1,64
7,97.83,94.13,90.61,93.92,600768,103,3,1,1,64
8,94.36,92.4,86.41,91.78,600768,103,3,1,1,64
9,89.52,89.78,80.78,88.82,600768,103,3,1,1,64
10,83.24,86.44,73.3,84.7,600768,103,3,1,1,64
11,75.57,82.35,63.57,78.95,600768,103,3,1,1,64
12,64.58,76.07,51.42,71.01,600768,103,3,1,1,64
13,54.34,68.6,37.34,60.32,600768,103,3,1,1,64
14,40.85,59.07,22.85,46.58,600768,103,3,1,1,64
15,27.36,45.69,10.4,29.96,600768,103,3,1,1,64
16,16.1,31.78,2.81,13.62,600768,103,3,1,1,64
17,8.7,19.5,1.98,12.15,600768,103,3,1,1,64
18,6.85,21.53,7.02,24.79,600768,103,3,1,1,64
19,10.54,33.58,13.17,35.43,600768,103,3,1,1,64
20,12.82,38.71,16.03,39.09,600768,103,3,1,1,64
21,13.67,39.36,15.32,37.46,600768,103,3,1,1,64
22,11.51,32.57,12.82,32.98,600768,103,3,1,1,64
23,9.71,27.16,10.02,28.45,600768,103,3,1,1,64
24,9.08,24.22,7.56,24.74,600768,103,3,1,1,64
25,8.64,23.01,5.72,21.8,600768,103,3,1,1,64
26,8.83,22.24,4.41,19.22,600768,103,3,1,1,64
27,8.07,22.09,3.53,16.99,600768,103,3,1,1,64
