epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,47.41,98.86,21.62,97.38,603778,103,3,1,1,64
1,43.71,95.27,20.31,94.05,603778,103,3,1,1,64
2,33.98,86.29,18.14,88.3,603778,103,3,1,1,64
3,18.59,68.79,15.1,79.52,603778,103,3,1,1,64
4,7.5,47.48,9.79,61.3,603778,103,3,1,1,64
5,4.05,30.23,3.66,30.98,603778,103,3,1,1,64
6,2.93,20.95,1.81,22.87,603778,103,3,1,1,64
7,2.55,20.75,1.74,21.49,603778,103,3,1,1,64
8,1.94,15.38,2.02,20.96,603778,103,3,1,1,64
9,1.77,14.76,2.33,22.05,603778,103,3,1,1,64
10,1.37,14.89,2.37,22.34,603778,103,3,1,1,64
11,1.24,13.75,2.24,21.38,603778,103,3,1,1,64
12,1.65,16.47,2.26,21.51,603778,103,3,1,1,64
13,1.32,15.12,2.23,21.27,603778,103,3,1,1,64
14,1.68,15.76,2.07,20.22,603778,103,3,1,1,64
15,1.49,15.19,2.04,20.04,603778,103,3,1,1,64
16,1.75,15.89,2.08,20.12,603778,103,3,1,1,64
17,1.56,14.4,1.96,19.36,603778,103,3,1,1,64
