epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,25.28,82.6,3.08,57.92,000571,103,3,1,1,64
1,2.91,28.87,0.53,18.6,000571,103,3,1,1,64
2,2.16,22.68,0.5,19.54,000571,103,3,1,1,64
3,1.89,20.05,0.41,18.36,000571,103,3,1,1,64
4,1.5,19.38,0.51,16.28,000571,103,3,1,1,64
5,1.61,19.16,0.8,23.75,000571,103,3,1,1,64
6,1.06,14.41,0.41,17.29,000571,103,3,1,1,64
7,0.64,13.44,0.18,9.9,000571,103,3,1,1,64
8,0.48,11.84,0.24,13.07,000571,103,3,1,1,64
9,0.53,12.69,0.25,13.37,000571,103,3,1,1,64
10,0.47,11.21,0.18,12.63,000571,103,3,1,1,64
11,0.52,11.68,0.42,20.38,000571,103,3,1,1,64
12,0.47,10.44,0.15,10.05,000571,103,3,1,1,64
13,0.37,9.3,0.1,8.28,000571,103,3,1,1,64
14,0.39,9.31,0.15,10.51,000571,103,3,1,1,64
15,0.34,10.02,0.13,9.68,000571,103,3,1,1,64
16,0.32,8.85,0.13,8.99,000571,103,3,1,1,64
17,0.28,8.67,0.11,8.87,000571,103,3,1,1,64
18,0.31,8.71,0.09,6.3,000571,103,3,1,1,64
19,0.34,10.22,0.19,10.84,000571,103,3,1,1,64
20,0.44,10.37,0.08,7.14,000571,103,3,1,1,64
21,0.32,9.12,0.14,12.06,000571,103,3,1,1,64
22,0.45,11.53,0.11,10.53,000571,103,3,1,1,64
23,0.36,8.87,0.07,7.44,000571,103,3,1,1,64
24,0.29,8.49,0.09,7.13,000571,103,3,1,1,64
25,0.29,8.26,0.07,8.21,000571,103,3,1,1,64
26,0.39,9.86,0.2,11.17,000571,103,3,1,1,64
27,0.31,9.15,0.13,8.72,000571,103,3,1,1,64
28,0.28,8.95,0.06,5.49,000571,103,3,1,1,64
29,0.33,9.6,0.07,6.52,000571,103,3,1,1,64
30,0.37,9.04,0.08,6.54,000571,103,3,1,1,64
31,0.4,8.63,0.05,6.13,000571,103,3,1,1,64
32,0.26,8.09,0.08,7.45,000571,103,3,1,1,64
33,0.34,8.72,0.1,8.17,000571,103,3,1,1,64
34,0.28,8.22,0.2,13.81,000571,103,3,1,1,64
35,0.28,7.88,0.07,7.71,000571,103,3,1,1,64
36,0.3,8.78,0.12,8.4,000571,103,3,1,1,64
37,0.35,8.91,0.08,6.4,000571,103,3,1,1,64
38,0.29,7.92,0.12,7.46,000571,103,3,1,1,64
39,0.36,8.94,0.14,9.82,000571,103,3,1,1,64
40,0.27,8.98,0.03,3.96,000571,103,3,1,1,64
41,0.22,7.0,0.08,7.87,000571,103,3,1,1,64
42,0.22,7.32,0.03,3.92,000571,103,3,1,1,64
43,0.33,7.39,0.05,5.52,000571,103,3,1,1,64
44,0.29,7.74,0.05,5.4,000571,103,3,1,1,64
45,0.32,8.1,0.2,10.33,000571,103,3,1,1,64
46,0.39,9.16,0.07,6.54,000571,103,3,1,1,64
47,0.35,8.94,0.04,4.63,000571,103,3,1,1,64
48,0.23,7.59,0.08,6.67,000571,103,3,1,1,64
49,0.29,7.87,0.07,6.05,000571,103,3,1,1,64
50,0.26,8.32,0.22,15.76,000571,103,3,1,1,64
