epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,5.37,99.47,52.89,97.97,000018,103,3,1,1,64
1,5.15,95.91,52.73,96.84,000018,103,3,1,1,64
2,4.9,91.8,52.57,95.36,000018,103,3,1,1,64
3,4.57,86.05,52.42,94.41,000018,103,3,1,1,64
4,4.15,77.88,52.29,94.27,000018,103,3,1,1,64
5,3.57,65.19,52.17,95.19,000018,103,3,1,1,64
6,2.89,50.15,52.04,97.88,000018,103,3,1,1,64
7,2.3,44.91,51.88,102.28,000018,103,3,1,1,64
8,2.15,58.84,51.65,104.84,000018,103,3,1,1,64
9,2.36,74.74,51.26,103.21,000018,103,3,1,1,64
10,1.99,67.64,50.66,99.8,000018,103,3,1,1,64
11,1.58,53.83,49.84,96.44,000018,103,3,1,1,64
12,1.38,44.53,48.84,94.0,000018,103,3,1,1,64
13,1.42,42.29,47.64,92.0,000018,103,3,1,1,64
14,1.26,38.66,46.15,90.22,000018,103,3,1,1,64
15,1.18,36.15,44.33,88.44,000018,103,3,1,1,64
16,1.0,36.35,42.16,86.42,000018,103,3,1,1,64
17,0.84,36.69,39.62,83.94,000018,103,3,1,1,64
18,0.75,39.75,36.84,80.88,000018,103,3,1,1,64
19,0.68,40.74,34.08,77.43,000018,103,3,1,1,64
20,0.64,39.87,31.49,73.91,000018,103,3,1,1,64
21,0.54,34.83,29.06,70.95,000018,103,3,1,1,64
22,0.45,29.94,26.65,67.9,000018,103,3,1,1,64
23,0.37,25.65,24.18,64.59,000018,103,3,1,1,64
24,0.29,21.97,21.64,61.06,000018,103,3,1,1,64
