epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,236.15,99.96,244.1,99.86,001288,103,3,1,1,64
1,235.33,99.78,243.53,99.74,001288,103,3,1,1,64
2,234.72,99.66,242.88,99.61,001288,103,3,1,1,64
3,233.62,99.43,242.17,99.46,001288,103,3,1,1,64
4,232.33,99.15,241.37,99.3,001288,103,3,1,1,64
5,231.46,98.97,240.49,99.11,001288,103,3,1,1,64
6,229.64,98.57,239.48,98.91,001288,103,3,1,1,64
7,228.02,98.22,238.3,98.66,001288,103,3,1,1,64
8,226.15,97.84,236.93,98.37,001288,103,3,1,1,64
9,224.05,97.36,235.33,98.04,001288,103,3,1,1,64
10,221.73,96.83,233.5,97.65,001288,103,3,1,1,64
11,217.34,95.91,231.37,97.2,001288,103,3,1,1,64
12,213.53,95.07,228.87,96.66,001288,103,3,1,1,64
13,209.13,94.13,225.96,96.04,001288,103,3,1,1,64
14,203.82,92.73,222.53,95.29,001288,103,3,1,1,64
15,195.46,90.97,218.46,94.4,001288,103,3,1,1,64
16,184.16,88.24,213.65,93.33,001288,103,3,1,1,64
17,178.53,86.97,207.92,92.04,001288,103,3,1,1,64
18,166.26,83.72,201.09,90.47,001288,103,3,1,1,64
19,154.33,80.37,192.99,88.56,001288,103,3,1,1,64
20,133.77,74.85,183.34,86.23,001288,103,3,1,1,64
21,120.92,71.14,171.92,83.37,001288,103,3,1,1,64
22,95.86,62.82,158.59,79.87,001288,103,3,1,1,64
23,84.29,58.37,143.36,75.63,001288,103,3,1,1,64
24,65.39,50.03,126.46,70.57,001288,103,3,1,1,64
25,53.98,44.38,108.4,64.67,001288,103,3,1,1,64
26,39.25,36.59,90.11,58.01,001288,103,3,1,1,64
27,26.51,29.11,72.54,50.73,001288,103,3,1,1,64
28,14.15,21.05,56.7,43.12,001288,103,3,1,1,64
29,8.81,16.7,43.16,35.4,001288,103,3,1,1,64
30,5.72,12.92,32.32,27.92,001288,103,3,1,1,64
31,2.56,9.25,24.25,21.01,001288,103,3,1,1,64
32,5.89,13.15,18.54,17.53,001288,103,3,1,1,64
33,4.53,11.58,14.71,17.0,001288,103,3,1,1,64
34,15.23,21.35,12.26,17.64,001288,103,3,1,1,64
35,10.86,18.25,10.65,17.86,001288,103,3,1,1,64
36,7.67,16.46,9.48,17.73,001288,103,3,1,1,64
37,12.08,18.28,8.6,17.36,001288,103,3,1,1,64
38,15.46,23.21,7.83,16.73,001288,103,3,1,1,64
39,16.6,25.22,7.14,15.89,001288,103,3,1,1,64
40,8.23,17.59,6.55,14.96,001288,103,3,1,1,64
41,12.16,20.53,6.06,13.89,001288,103,3,1,1,64
42,9.5,18.0,5.74,12.8,001288,103,3,1,1,64
43,9.88,16.8,5.6,11.65,001288,103,3,1,1,64
44,6.75,14.52,5.69,10.46,001288,103,3,1,1,64
45,2.98,9.12,5.99,10.64,001288,103,3,1,1,64
46,6.09,14.88,6.56,10.96,001288,103,3,1,1,64
47,3.27,10.92,7.21,11.57,001288,103,3,1,1,64
48,3.32,9.82,7.99,13.2,001288,103,3,1,1,64
49,3.72,8.11,8.78,14.63,001288,103,3,1,1,64
