code,klt,loss,mape,val_loss,val_mape,modelname
c600966,103,0.1,9.17,12.22,22.34,/kaggle/working/models_2/103/0.10_600966_32_mem_3_ltsm_1_dense_1_unit_64.h5
c600966,103,0.1,9.37,12.35,21.53,/kaggle/working/models_2/103/0.10_600966_36_mem_3_ltsm_1_dense_1_unit_64.h5
c002328,103,0.2,7.66,0.15,6.16,/kaggle/working/models_2/103/0.20_002328_35_mem_3_ltsm_1_dense_1_unit_64.h5
c002328,103,0.2,7.9,0.17,6.58,/kaggle/working/models_2/103/0.20_002328_40_mem_3_ltsm_1_dense_1_unit_64.h5
c002328,103,0.2,7.27,0.06,3.23,/kaggle/working/models_2/103/0.20_002328_41_mem_3_ltsm_1_dense_1_unit_64.h5
c002990,103,27.47,14.6,42.25,24.36,/kaggle/working/models_2/103/27.47_002990_21_mem_3_ltsm_1_dense_1_unit_64.h5
c600803,103,0.31,7.75,2.44,7.57,/kaggle/working/models_2/103/0.31_600803_30_mem_3_ltsm_1_dense_1_unit_64.h5
c600803,103,0.31,7.32,2.24,7.95,/kaggle/working/models_2/103/0.31_600803_33_mem_3_ltsm_1_dense_1_unit_64.h5
c601088,103,0.83,8.02,2.32,4.94,/kaggle/working/models_2/103/0.83_601088_71_mem_3_ltsm_1_dense_1_unit_64.h5
c002687,103,0.18,7.37,0.1,5.86,/kaggle/working/models_2/103/0.18_002687_64_mem_3_ltsm_1_dense_1_unit_64.h5
c605228,103,1.3,10.7,1.98,16.34,/kaggle/working/models_2/103/1.30_605228_21_mem_3_ltsm_1_dense_1_unit_64.h5
c600749,103,0.81,6.92,0.14,2.42,/kaggle/working/models_2/103/0.81_600749_40_mem_3_ltsm_1_dense_1_unit_64.h5
c600749,103,0.81,7.16,0.3,3.79,/kaggle/working/models_2/103/0.81_600749_46_mem_3_ltsm_1_dense_1_unit_64.h5
c600749,103,0.81,6.82,0.26,4.16,/kaggle/working/models_2/103/0.81_600749_50_mem_3_ltsm_1_dense_1_unit_64.h5
c000637,103,0.21,7.23,0.04,3.69,/kaggle/working/models_2/103/0.21_000637_53_mem_3_ltsm_1_dense_1_unit_64.h5
c603876,103,6.15,10.9,199.38,22.46,/kaggle/working/models_2/103/6.15_603876_56_mem_3_ltsm_1_dense_1_unit_64.h5
c002170,103,0.37,7.71,0.1,4.22,/kaggle/working/models_2/103/0.37_002170_46_mem_3_ltsm_1_dense_1_unit_64.h5
c603809,103,3.52,13.49,1.86,9.56,/kaggle/working/models_2/103/3.52_603809_24_mem_3_ltsm_1_dense_1_unit_64.h5
c002053,103,0.63,9.23,1.17,6.17,/kaggle/working/models_2/103/0.63_002053_36_mem_3_ltsm_1_dense_1_unit_64.h5
c002221,103,1.36,90.9,3.37,15.65,/kaggle/working/models_2/103/1.36_002221_20_mem_3_ltsm_1_dense_1_unit_64.h5
c600568,103,0.08,9.98,0.06,12.53,/kaggle/working/models_2/103/0.08_600568_36_mem_3_ltsm_1_dense_1_unit_64.h5
c002845,103,2.92,8.46,5.16,12.26,/kaggle/working/models_2/103/2.92_002845_50_mem_3_ltsm_1_dense_1_unit_64.h5
c002297,103,2.68,11.13,5.75,21.21,/kaggle/working/models_2/103/2.68_002297_17_mem_3_ltsm_1_dense_1_unit_64.h5
c002781,103,8.7,14.58,8.59,41.75,/kaggle/working/models_2/103/8.70_002781_20_mem_3_ltsm_1_dense_1_unit_64.h5
c603713,103,123.18,11.91,196.02,7.82,/kaggle/working/models_2/103/123.18_603713_55_mem_3_ltsm_1_dense_1_unit_64.h5
c600756,103,1.4,8.52,1.1,4.83,/kaggle/working/models_2/103/1.40_600756_29_mem_3_ltsm_1_dense_1_unit_64.h5
c603706,103,6.48,12.59,2.08,7.63,/kaggle/working/models_2/103/6.48_603706_21_mem_3_ltsm_1_dense_1_unit_64.h5
c002069,103,1.71,10.34,0.9,17.8,/kaggle/working/models_2/103/1.71_002069_16_mem_3_ltsm_1_dense_1_unit_64.h5
c002923,103,3.07,10.66,3.48,10.29,/kaggle/working/models_2/103/3.07_002923_42_mem_3_ltsm_1_dense_1_unit_64.h5
c000096,103,0.36,7.55,0.06,2.22,/kaggle/working/models_2/103/0.36_000096_41_mem_3_ltsm_1_dense_1_unit_64.h5
c603178,103,2.39,10.66,5.23,15.81,/kaggle/working/models_2/103/2.39_603178_22_mem_3_ltsm_1_dense_1_unit_64.h5
c002094,103,0.42,8.39,0.13,7.56,/kaggle/working/models_2/103/0.42_002094_40_mem_3_ltsm_1_dense_1_unit_64.h5
c600289,103,0.66,8.89,0.03,4.13,/kaggle/working/models_2/103/0.66_600289_32_mem_3_ltsm_1_dense_1_unit_64.h5
c600289,103,0.66,8.02,0.08,7.22,/kaggle/working/models_2/103/0.66_600289_34_mem_3_ltsm_1_dense_1_unit_64.h5
c600114,103,0.97,58.02,3.86,15.85,/kaggle/working/models_2/103/0.97_600114_13_mem_3_ltsm_1_dense_1_unit_64.h5
c603109,103,13.68,16.99,4.73,11.04,/kaggle/working/models_2/103/13.68_603109_19_mem_3_ltsm_1_dense_1_unit_64.h5
c603926,103,2.08,11.09,2.45,13.79,/kaggle/working/models_2/103/2.08_603926_33_mem_3_ltsm_1_dense_1_unit_64.h5
c002732,103,32.87,19.04,18.0,18.57,/kaggle/working/models_2/103/32.87_002732_12_mem_3_ltsm_1_dense_1_unit_64.h5
c002725,103,3.6,12.8,2.12,16.2,/kaggle/working/models_2/103/3.60_002725_11_mem_3_ltsm_1_dense_1_unit_64.h5
c000982,103,0.14,12.04,1.32,43.15,/kaggle/working/models_2/103/0.14_000982_12_mem_3_ltsm_1_dense_1_unit_64.h5
c002027,103,0.12,42.34,0.23,6.24,/kaggle/working/models_2/103/0.12_002027_47_mem_3_ltsm_1_dense_1_unit_64.h5
c002543,103,0.56,9.76,1.45,7.71,/kaggle/working/models_2/103/0.56_002543_35_mem_3_ltsm_1_dense_1_unit_64.h5
c605333,103,21.73,20.79,153.27,43.49,/kaggle/working/models_2/103/21.73_605333_95_mem_3_ltsm_1_dense_1_unit_64.h5
c003007,103,15.14,10.57,70.95,27.29,/kaggle/working/models_2/103/15.14_003007_36_mem_3_ltsm_1_dense_1_unit_64.h5
c600871,103,0.23,9.64,0.1,14.05,/kaggle/working/models_2/103/0.23_600871_14_mem_3_ltsm_1_dense_1_unit_64.h5
c600871,103,0.23,9.14,0.05,9.7,/kaggle/working/models_2/103/0.23_600871_18_mem_3_ltsm_1_dense_1_unit_64.h5
c600871,103,0.23,9.69,0.07,11.76,/kaggle/working/models_2/103/0.23_600871_19_mem_3_ltsm_1_dense_1_unit_64.h5
c000927,103,0.26,6.6,0.1,7.38,/kaggle/working/models_2/103/0.26_000927_64_mem_3_ltsm_1_dense_1_unit_64.h5
c000983,103,0.77,26.52,1.01,11.07,/kaggle/working/models_2/103/0.77_000983_20_mem_3_ltsm_1_dense_1_unit_64.h5
c600600,103,2.23,53.42,955.72,24.27,/kaggle/working/models_2/103/2.23_600600_51_mem_3_ltsm_1_dense_1_unit_64.h5
c600653,103,0.06,6.82,0.02,3.96,/kaggle/working/models_2/103/0.06_600653_40_mem_3_ltsm_1_dense_1_unit_64.h5
c600653,103,0.06,6.64,0.01,3.19,/kaggle/working/models_2/103/0.06_600653_42_mem_3_ltsm_1_dense_1_unit_64.h5
c600653,103,0.06,6.97,0.02,3.59,/kaggle/working/models_2/103/0.06_600653_52_mem_3_ltsm_1_dense_1_unit_64.h5
c600653,103,0.06,6.33,0.02,3.28,/kaggle/working/models_2/103/0.06_600653_53_mem_3_ltsm_1_dense_1_unit_64.h5
c600653,103,0.06,6.64,0.01,3.45,/kaggle/working/models_2/103/0.06_600653_54_mem_3_ltsm_1_dense_1_unit_64.h5
c000023,103,1.18,9.23,1.02,5.49,/kaggle/working/models_2/103/1.18_000023_19_mem_3_ltsm_1_dense_1_unit_64.h5
c600123,103,0.49,46.84,0.5,5.89,/kaggle/working/models_2/103/0.49_600123_36_mem_3_ltsm_1_dense_1_unit_64.h5
c002747,103,7.65,14.81,85.62,41.19,/kaggle/working/models_2/103/7.65_002747_18_mem_3_ltsm_1_dense_1_unit_64.h5
c002795,103,5.92,12.5,1.09,9.18,/kaggle/working/models_2/103/5.92_002795_20_mem_3_ltsm_1_dense_1_unit_64.h5
c600530,103,0.11,8.44,0.03,3.27,/kaggle/working/models_2/103/0.11_600530_45_mem_3_ltsm_1_dense_1_unit_64.h5
c600530,103,0.11,7.87,0.06,5.07,/kaggle/working/models_2/103/0.11_600530_48_mem_3_ltsm_1_dense_1_unit_64.h5
c600136,103,2.04,15.74,30.55,43.86,/kaggle/working/models_2/103/2.04_600136_11_mem_3_ltsm_1_dense_1_unit_64.h5
