code,klt,loss,mape,val_loss,val_mape,modelname
c600219,103,0.54,18.66,0.33,13.22,/content/drive/MyDrive/stock/data/working/models_2/103/0.54_600219_24_mem_3_ltsm_1_dense_1_unit_64.h5
c000750,103,0.66,15.45,0.72,15.55,/content/drive/MyDrive/stock/data/working/models_2/103/0.66_000750_33_mem_3_ltsm_1_dense_1_unit_64.h5
c600908,103,2.55,19.3,0.12,4.94,/content/drive/MyDrive/stock/data/working/models_2/103/2.55_600908_36_mem_3_ltsm_1_dense_1_unit_64.h5
c600210,103,0.87,144.13,1.88,16.02,/content/drive/MyDrive/stock/data/working/models_2/103/0.87_600210_22_mem_3_ltsm_1_dense_1_unit_64.h5
c002327,103,1.92,16.43,1.67,15.31,/content/drive/MyDrive/stock/data/working/models_2/103/1.92_002327_44_mem_3_ltsm_1_dense_1_unit_64.h5
c002939,103,3.66,11.22,2.67,16.07,/content/drive/MyDrive/stock/data/working/models_2/103/3.66_002939_49_mem_3_ltsm_1_dense_1_unit_64.h5
c002390,103,4.55,19.82,2.92,22.89,/content/drive/MyDrive/stock/data/working/models_2/103/4.55_002390_49_mem_3_ltsm_1_dense_1_unit_64.h5
c603680,103,5.01,18.97,6.63,31.77,/content/drive/MyDrive/stock/data/working/models_2/103/5.01_603680_42_mem_3_ltsm_1_dense_1_unit_64.h5
c601827,103,20.82,48.07,44.3,99.07,/content/drive/MyDrive/stock/data/working/models_2/103/20.82_601827_23_mem_3_ltsm_1_dense_1_unit_64.h5
c002145,103,0.34,18.32,7.84,26.02,/content/drive/MyDrive/stock/data/working/models_2/103/0.34_002145_46_mem_3_ltsm_1_dense_1_unit_64.h5
c603519,103,9.53,26.16,5.9,18.4,/content/drive/MyDrive/stock/data/working/models_2/103/9.53_603519_35_mem_3_ltsm_1_dense_1_unit_64.h5
c002913,103,75.72,21.19,7.49,7.94,/content/drive/MyDrive/stock/data/working/models_2/103/75.72_002913_49_mem_3_ltsm_1_dense_1_unit_64.h5
c002943,103,72.39,26.98,1079.48,57.86,/content/drive/MyDrive/stock/data/working/models_2/103/72.39_002943_47_mem_3_ltsm_1_dense_1_unit_64.h5
c600835,103,6.88,117.83,3.47,9.78,/content/drive/MyDrive/stock/data/working/models_2/103/6.88_600835_49_mem_3_ltsm_1_dense_1_unit_64.h5
c000728,103,8.41,51.11,5.13,29.68,/content/drive/MyDrive/stock/data/working/models_2/103/8.41_000728_22_mem_3_ltsm_1_dense_1_unit_64.h5
c000728,103,8.41,40.05,3.49,23.86,/content/drive/MyDrive/stock/data/working/models_2/103/8.41_000728_23_mem_3_ltsm_1_dense_1_unit_64.h5
c601555,103,3.82,17.33,2.81,17.69,/content/drive/MyDrive/stock/data/working/models_2/103/3.82_601555_28_mem_3_ltsm_1_dense_1_unit_64.h5
c600423,103,3.14,22.06,0.31,13.29,/content/drive/MyDrive/stock/data/working/models_2/103/3.14_600423_17_mem_3_ltsm_1_dense_1_unit_64.h5
c603603,103,78.31,44.85,11.99,50.66,/content/drive/MyDrive/stock/data/working/models_2/103/78.31_603603_45_mem_3_ltsm_1_dense_1_unit_64.h5
c000541,103,1.5,114.16,0.66,10.43,/content/drive/MyDrive/stock/data/working/models_2/103/1.50_000541_34_mem_3_ltsm_1_dense_1_unit_64.h5
c000523,103,1.43,24.18,1.51,22.65,/content/drive/MyDrive/stock/data/working/models_2/103/1.43_000523_24_mem_3_ltsm_1_dense_1_unit_64.h5
c002255,103,2.27,16.38,3.04,28.97,/content/drive/MyDrive/stock/data/working/models_2/103/2.27_002255_45_mem_3_ltsm_1_dense_1_unit_64.h5
c002455,103,2.48,24.77,12.77,17.64,/content/drive/MyDrive/stock/data/working/models_2/103/2.48_002455_46_mem_3_ltsm_1_dense_1_unit_64.h5
c600787,103,1.0,43.66,2.25,23.02,/content/drive/MyDrive/stock/data/working/models_2/103/1.00_600787_35_mem_3_ltsm_1_dense_1_unit_64.h5
c001211,103,13.68,11.78,1.48,4.46,/content/drive/MyDrive/stock/data/working/models_2/103/13.68_001211_49_mem_3_ltsm_1_dense_1_unit_64.h5
c002002,103,1.24,36.64,0.94,22.94,/content/drive/MyDrive/stock/data/working/models_2/103/1.24_002002_30_mem_3_ltsm_1_dense_1_unit_64.h5
c000820,103,24.6,51.11,21.89,117.39,/content/drive/MyDrive/stock/data/working/models_2/103/24.60_000820_23_mem_3_ltsm_1_dense_1_unit_64.h5
c600563,103,42.36,82.71,10713.66,53.9,/content/drive/MyDrive/stock/data/working/models_2/103/42.36_600563_46_mem_3_ltsm_1_dense_1_unit_64.h5
c603458,103,9.44,16.57,7.4,16.88,/content/drive/MyDrive/stock/data/working/models_2/103/9.44_603458_49_mem_3_ltsm_1_dense_1_unit_64.h5
c002902,103,20.94,22.09,21.71,33.44,/content/drive/MyDrive/stock/data/working/models_2/103/20.94_002902_40_mem_3_ltsm_1_dense_1_unit_64.h5
c600355,103,0.78,16.06,0.48,16.27,/content/drive/MyDrive/stock/data/working/models_2/103/0.78_600355_37_mem_3_ltsm_1_dense_1_unit_64.h5
c000520,103,1.91,22.96,0.28,11.64,/content/drive/MyDrive/stock/data/working/models_2/103/1.91_000520_43_mem_3_ltsm_1_dense_1_unit_64.h5
c601117,103,1.48,18.25,2.92,12.19,/content/drive/MyDrive/stock/data/working/models_2/103/1.48_601117_46_mem_3_ltsm_1_dense_1_unit_64.h5
c601928,103,3.37,16.15,0.9,10.15,/content/drive/MyDrive/stock/data/working/models_2/103/3.37_601928_42_mem_3_ltsm_1_dense_1_unit_64.h5
c603685,103,4.36,14.08,11.18,33.28,/content/drive/MyDrive/stock/data/working/models_2/103/4.36_603685_37_mem_3_ltsm_1_dense_1_unit_64.h5
c002369,103,3.34,14.52,4.97,34.85,/content/drive/MyDrive/stock/data/working/models_2/103/3.34_002369_40_mem_3_ltsm_1_dense_1_unit_64.h5
c600196,103,11.27,177.3,410.61,31.95,/content/drive/MyDrive/stock/data/working/models_2/103/11.27_600196_48_mem_3_ltsm_1_dense_1_unit_64.h5
c603528,103,11.01,20.9,3.49,26.9,/content/drive/MyDrive/stock/data/working/models_2/103/11.01_603528_30_mem_3_ltsm_1_dense_1_unit_64.h5
c002598,103,2.57,15.13,7.68,19.43,/content/drive/MyDrive/stock/data/working/models_2/103/2.57_002598_42_mem_3_ltsm_1_dense_1_unit_64.h5
c002916,103,6745.75,77.85,3958.66,74.92,/content/drive/MyDrive/stock/data/working/models_2/103/6745.75_002916_49_mem_3_ltsm_1_dense_1_unit_64.h5
c600621,103,2.73,137.59,17.59,22.14,/content/drive/MyDrive/stock/data/working/models_2/103/2.73_600621_23_mem_3_ltsm_1_dense_1_unit_64.h5
c002435,103,0.99,20.09,4.54,35.76,/content/drive/MyDrive/stock/data/working/models_2/103/0.99_002435_33_mem_3_ltsm_1_dense_1_unit_64.h5
c600570,103,14.16,68.7,700.84,56.97,/content/drive/MyDrive/stock/data/working/models_2/103/14.16_600570_31_mem_3_ltsm_1_dense_1_unit_64.h5
c605389,103,35.3,16.28,18.17,9.77,/content/drive/MyDrive/stock/data/working/models_2/103/35.30_605389_49_mem_3_ltsm_1_dense_1_unit_64.h5
c600300,103,0.86,18.0,0.55,17.31,/content/drive/MyDrive/stock/data/working/models_2/103/0.86_600300_32_mem_3_ltsm_1_dense_1_unit_64.h5
c600435,103,8.34,53.18,4.37,22.33,/content/drive/MyDrive/stock/data/working/models_2/103/8.34_600435_22_mem_3_ltsm_1_dense_1_unit_64.h5
c600305,103,0.61,45.41,54.79,39.48,/content/drive/MyDrive/stock/data/working/models_2/103/0.61_600305_26_mem_3_ltsm_1_dense_1_unit_64.h5
c601880,103,0.1,13.28,0.05,11.79,/content/drive/MyDrive/stock/data/working/models_2/103/0.10_601880_43_mem_3_ltsm_1_dense_1_unit_64.h5
c603988,103,13.61,22.73,7.85,17.69,/content/drive/MyDrive/stock/data/working/models_2/103/13.61_603988_48_mem_3_ltsm_1_dense_1_unit_64.h5
c002032,103,75.64,204.12,757.59,40.79,/content/drive/MyDrive/stock/data/working/models_2/103/75.64_002032_45_mem_3_ltsm_1_dense_1_unit_64.h5
c603206,103,1.97,7.9,27.14,25.54,/content/drive/MyDrive/stock/data/working/models_2/103/1.97_603206_42_mem_3_ltsm_1_dense_1_unit_64.h5
c600819,103,2.45,18.77,0.41,8.87,/content/drive/MyDrive/stock/data/working/models_2/103/2.45_600819_49_mem_3_ltsm_1_dense_1_unit_64.h5
c601899,103,0.84,28.17,30.99,52.81,/content/drive/MyDrive/stock/data/working/models_2/103/0.84_601899_48_mem_3_ltsm_1_dense_1_unit_64.h5
c002228,103,0.93,32.91,0.27,12.7,/content/drive/MyDrive/stock/data/working/models_2/103/0.93_002228_44_mem_3_ltsm_1_dense_1_unit_64.h5
c605567,103,2.1,7.98,34.76,23.78,/content/drive/MyDrive/stock/data/working/models_2/103/2.10_605567_34_mem_3_ltsm_1_dense_1_unit_64.h5
c600690,103,1.13,87.92,166.52,54.07,/content/drive/MyDrive/stock/data/working/models_2/103/1.13_600690_26_mem_3_ltsm_1_dense_1_unit_64.h5
c600690,103,1.13,59.36,157.51,52.0,/content/drive/MyDrive/stock/data/working/models_2/103/1.13_600690_32_mem_3_ltsm_1_dense_1_unit_64.h5
c603819,103,7.19,16.76,30.18,33.83,/content/drive/MyDrive/stock/data/working/models_2/103/7.19_603819_48_mem_3_ltsm_1_dense_1_unit_64.h5
c605166,103,4.19,13.51,1.87,8.2,/content/drive/MyDrive/stock/data/working/models_2/103/4.19_605166_47_mem_3_ltsm_1_dense_1_unit_64.h5
c002782,103,20.6,24.43,12.98,19.58,/content/drive/MyDrive/stock/data/working/models_2/103/20.60_002782_44_mem_3_ltsm_1_dense_1_unit_64.h5
c002491,103,8.31,22.77,0.89,14.61,/content/drive/MyDrive/stock/data/working/models_2/103/8.31_002491_45_mem_3_ltsm_1_dense_1_unit_64.h5
c600489,103,5.81,30.56,2.54,16.36,/content/drive/MyDrive/stock/data/working/models_2/103/5.81_600489_34_mem_3_ltsm_1_dense_1_unit_64.h5
c002971,103,7.69,11.72,5.63,10.9,/content/drive/MyDrive/stock/data/working/models_2/103/7.69_002971_41_mem_3_ltsm_1_dense_1_unit_64.h5
c603703,103,32.79,27.48,46.02,30.03,/content/drive/MyDrive/stock/data/working/models_2/103/32.79_603703_48_mem_3_ltsm_1_dense_1_unit_64.h5
c600330,103,2.58,18.63,5.78,16.94,/content/drive/MyDrive/stock/data/working/models_2/103/2.58_600330_26_mem_3_ltsm_1_dense_1_unit_64.h5
