epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,1.15,16.43,0.07,5.22,000407,101,3,1,1,64
1,0.2,8.83,0.02,2.47,000407,101,3,1,1,64
2,0.17,7.7,0.05,3.19,000407,101,3,1,1,64
3,0.15,7.5,0.05,3.63,000407,101,3,1,1,64
4,0.15,7.52,0.03,2.18,000407,101,3,1,1,64
5,0.14,6.78,0.08,4.77,000407,101,3,1,1,64
6,0.13,6.64,0.03,3.4,000407,101,3,1,1,64
7,0.13,6.69,0.02,1.53,000407,101,3,1,1,64
8,0.12,6.36,0.01,1.33,000407,101,3,1,1,64
9,0.12,6.38,0.01,2.55,000407,101,3,1,1,64
10,0.11,6.26,0.02,2.91,000407,101,3,1,1,64
11,0.11,6.29,0.01,1.48,000407,101,3,1,1,64
12,0.11,6.29,0.01,1.22,000407,101,3,1,1,64
13,0.11,6.46,0.01,1.02,000407,101,3,1,1,64
14,0.1,6.18,0.02,3.15,000407,101,3,1,1,64
15,0.11,6.3,0.03,3.89,000407,101,3,1,1,64
16,0.09,6.03,0.06,5.45,000407,101,3,1,1,64
17,0.09,6.03,0.01,1.85,000407,101,3,1,1,64
18,0.08,5.84,0.02,2.78,000407,101,3,1,1,64
19,0.08,5.81,0.01,1.19,000407,101,3,1,1,64
20,0.08,5.81,0.01,1.52,000407,101,3,1,1,64
21,0.08,5.61,0.03,3.4,000407,101,3,1,1,64
22,0.08,5.34,0.02,2.51,000407,101,3,1,1,64
23,0.07,5.33,0.02,2.96,000407,101,3,1,1,64
