epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,195.96,70.24,1065.61,85.22,000526,101,3,1,1,64
1,172.86,101.19,825.66,75.94,000526,101,3,1,1,64
2,128.17,68.63,664.55,63.93,000526,101,3,1,1,64
3,126.23,89.39,600.69,58.88,000526,101,3,1,1,64
4,80.57,38.85,388.22,35.63,000526,101,3,1,1,64
5,59.76,29.07,259.63,26.37,000526,101,3,1,1,64
6,42.99,20.33,177.3,20.77,000526,101,3,1,1,64
7,36.99,41.2,132.84,23.37,000526,101,3,1,1,64
8,28.02,41.51,91.67,13.66,000526,101,3,1,1,64
9,18.41,21.85,66.34,12.77,000526,101,3,1,1,64
10,15.49,30.75,51.57,11.8,000526,101,3,1,1,64
11,11.03,18.8,42.58,11.2,000526,101,3,1,1,64
12,10.66,19.92,38.13,15.06,000526,101,3,1,1,64
13,11.32,26.55,61.56,21.13,000526,101,3,1,1,64
14,15.83,34.25,30.22,10.2,000526,101,3,1,1,64
15,17.7,47.84,52.65,21.8,000526,101,3,1,1,64
16,32.23,51.38,28.99,11.32,000526,101,3,1,1,64
17,48.61,58.75,167.87,39.63,000526,101,3,1,1,64
18,162.13,43.02,479.02,56.02,000526,101,3,1,1,64
19,48.89,61.34,162.2,36.7,000526,101,3,1,1,64
20,16.23,43.45,113.07,24.13,000526,101,3,1,1,64
21,9.55,20.65,98.07,21.08,000526,101,3,1,1,64
22,8.76,15.59,94.13,20.61,000526,101,3,1,1,64
23,9.26,14.33,91.45,20.42,000526,101,3,1,1,64
24,8.22,14.04,88.26,20.01,000526,101,3,1,1,64
25,8.94,12.96,84.4,19.54,000526,101,3,1,1,64
26,8.7,12.26,79.82,18.93,000526,101,3,1,1,64
