epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,31.86,91.71,77.12,80.87,002150,101,3,1,1,64
1,11.39,45.32,20.48,12.79,002150,101,3,1,1,64
2,5.39,49.73,14.64,12.72,002150,101,3,1,1,64
3,1.36,17.06,16.01,10.18,002150,101,3,1,1,64
4,0.87,13.66,14.85,12.35,002150,101,3,1,1,64
5,0.66,13.6,13.89,8.52,002150,101,3,1,1,64
6,0.56,11.59,13.71,7.94,002150,101,3,1,1,64
7,0.52,11.26,13.13,7.8,002150,101,3,1,1,64
8,0.5,11.24,13.13,7.58,002150,101,3,1,1,64
9,0.51,11.12,12.65,7.41,002150,101,3,1,1,64
10,0.5,10.71,12.35,7.25,002150,101,3,1,1,64
11,0.43,10.36,12.18,7.11,002150,101,3,1,1,64
12,0.45,10.29,11.54,7.16,002150,101,3,1,1,64
13,0.46,10.06,12.22,7.81,002150,101,3,1,1,64
14,0.46,10.29,10.57,7.34,002150,101,3,1,1,64
15,0.41,9.39,12.3,8.18,002150,101,3,1,1,64
16,0.47,10.92,9.53,7.86,002150,101,3,1,1,64
17,0.46,9.58,14.02,12.44,002150,101,3,1,1,64
18,0.68,13.69,8.43,13.05,002150,101,3,1,1,64
19,0.71,13.45,16.01,15.98,002150,101,3,1,1,64
20,1.55,21.39,8.89,20.75,002150,101,3,1,1,64
21,1.23,17.47,19.55,22.02,002150,101,3,1,1,64
22,3.08,26.75,13.92,26.87,002150,101,3,1,1,64
23,1.25,24.91,12.66,7.67,002150,101,3,1,1,64
24,0.6,13.45,11.99,6.76,002150,101,3,1,1,64
25,0.44,10.29,13.43,11.48,002150,101,3,1,1,64
26,0.46,10.42,11.32,9.01,002150,101,3,1,1,64
27,0.42,9.95,12.31,9.15,002150,101,3,1,1,64
28,0.42,9.68,10.88,6.77,002150,101,3,1,1,64
