epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,72.24,99.39,55.58,98.31,603689,101,3,1,1,64
1,68.58,96.84,51.59,94.7,603689,101,3,1,1,64
2,60.8,90.84,41.28,84.67,603689,101,3,1,1,64
3,40.73,72.21,15.22,51.08,603689,101,3,1,1,64
4,8.77,25.34,3.42,23.94,603689,101,3,1,1,64
5,5.58,27.08,0.86,10.49,603689,101,3,1,1,64
6,1.7,12.7,1.67,16.13,603689,101,3,1,1,64
7,2.17,13.39,0.43,7.67,603689,101,3,1,1,64
8,1.65,10.28,0.33,5.88,603689,101,3,1,1,64
9,1.31,10.04,0.14,3.29,603689,101,3,1,1,64
10,1.07,8.6,0.28,5.89,603689,101,3,1,1,64
11,1.13,8.38,0.13,3.41,603689,101,3,1,1,64
12,0.96,8.18,0.1,2.78,603689,101,3,1,1,64
13,0.93,8.18,0.13,3.51,603689,101,3,1,1,64
14,0.93,7.87,0.11,3.23,603689,101,3,1,1,64
15,0.95,8.12,0.12,3.36,603689,101,3,1,1,64
16,0.87,7.82,0.13,3.68,603689,101,3,1,1,64
17,0.86,7.74,0.11,3.18,603689,101,3,1,1,64
18,0.9,7.94,0.12,3.44,603689,101,3,1,1,64
19,0.79,7.53,0.12,3.43,603689,101,3,1,1,64
20,0.85,7.84,0.11,3.27,603689,101,3,1,1,64
21,0.78,7.64,0.14,3.61,603689,101,3,1,1,64
22,0.82,7.73,0.11,3.25,603689,101,3,1,1,64
