epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,5.36,139.75,3.54,57.42,600790,101,3,1,1,64
1,0.71,83.35,0.03,4.11,600790,101,3,1,1,64
2,0.6,56.23,0.08,6.32,600790,101,3,1,1,64
3,0.25,29.27,0.02,2.5,600790,101,3,1,1,64
4,0.15,27.82,0.01,2.1,600790,101,3,1,1,64
5,0.14,26.12,0.01,2.09,600790,101,3,1,1,64
6,0.12,17.75,0.01,1.87,600790,101,3,1,1,64
7,0.1,16.05,0.01,1.61,600790,101,3,1,1,64
8,0.1,17.19,0.01,1.76,600790,101,3,1,1,64
9,0.1,16.98,0.01,1.7,600790,101,3,1,1,64
10,0.08,16.13,0.01,2.61,600790,101,3,1,1,64
11,0.08,15.74,0.0,1.47,600790,101,3,1,1,64
12,0.08,16.4,0.0,1.73,600790,101,3,1,1,64
13,0.07,19.03,0.01,2.37,600790,101,3,1,1,64
14,0.09,15.5,0.01,1.93,600790,101,3,1,1,64
15,0.12,17.66,0.05,5.66,600790,101,3,1,1,64
16,0.14,17.54,0.01,3.42,600790,101,3,1,1,64
17,0.11,25.18,0.01,1.79,600790,101,3,1,1,64
18,0.11,17.1,0.04,5.55,600790,101,3,1,1,64
19,0.08,16.92,0.01,1.82,600790,101,3,1,1,64
20,0.07,18.46,0.01,1.47,600790,101,3,1,1,64
21,0.07,18.15,0.01,1.79,600790,101,3,1,1,64
