epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,303.68,99.67,47.11,99.88,603377,101,3,1,1,64
1,292.21,97.89,46.52,99.24,603377,101,3,1,1,64
2,263.92,93.41,46.11,98.86,603377,101,3,1,1,64
3,188.66,80.03,45.57,98.4,603377,101,3,1,1,64
4,79.89,50.53,38.45,90.36,603377,101,3,1,1,64
5,21.29,21.46,12.9,50.28,603377,101,3,1,1,64
6,21.02,26.79,1.91,15.7,603377,101,3,1,1,64
7,18.54,25.34,4.83,31.0,603377,101,3,1,1,64
8,10.46,18.13,13.88,55.54,603377,101,3,1,1,64
9,9.51,14.84,14.95,57.68,603377,101,3,1,1,64
10,9.62,14.54,8.37,42.66,603377,101,3,1,1,64
11,8.01,12.83,2.82,23.56,603377,101,3,1,1,64
12,7.37,12.21,1.18,13.65,603377,101,3,1,1,64
13,6.79,11.42,0.87,11.1,603377,101,3,1,1,64
14,5.94,11.0,0.68,9.3,603377,101,3,1,1,64
15,5.21,10.06,0.47,7.08,603377,101,3,1,1,64
16,5.32,9.92,0.57,8.76,603377,101,3,1,1,64
17,4.5,9.36,0.9,12.16,603377,101,3,1,1,64
18,4.45,9.28,1.25,15.02,603377,101,3,1,1,64
19,3.91,8.44,1.43,16.32,603377,101,3,1,1,64
20,4.07,8.64,1.61,17.62,603377,101,3,1,1,64
21,3.99,8.63,1.85,19.19,603377,101,3,1,1,64
22,3.9,8.6,2.07,20.52,603377,101,3,1,1,64
23,3.28,7.92,2.44,22.56,603377,101,3,1,1,64
24,3.6,8.18,2.86,24.69,603377,101,3,1,1,64
