epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,52.31,85.59,8.78,70.17,000557,101,3,1,1,64
1,32.52,65.42,0.74,19.87,000557,101,3,1,1,64
2,14.97,51.22,1.36,28.33,000557,101,3,1,1,64
3,6.54,31.1,1.05,17.5,000557,101,3,1,1,64
4,2.49,20.17,0.42,13.42,000557,101,3,1,1,64
5,1.69,21.86,0.15,8.96,000557,101,3,1,1,64
6,1.31,21.64,0.18,9.92,000557,101,3,1,1,64
7,1.07,21.05,0.19,10.13,000557,101,3,1,1,64
8,0.99,21.2,0.13,8.19,000557,101,3,1,1,64
9,0.95,18.08,0.17,7.11,000557,101,3,1,1,64
10,0.78,16.55,0.18,9.88,000557,101,3,1,1,64
11,0.83,21.34,0.2,9.85,000557,101,3,1,1,64
12,0.7,16.91,0.16,9.17,000557,101,3,1,1,64
13,0.67,16.97,0.19,10.4,000557,101,3,1,1,64
14,0.66,17.28,0.16,7.38,000557,101,3,1,1,64
15,0.82,11.82,0.66,19.86,000557,101,3,1,1,64
16,1.48,28.35,0.65,17.14,000557,101,3,1,1,64
17,4.39,36.19,3.26,43.62,000557,101,3,1,1,64
18,3.42,42.72,1.37,27.17,000557,101,3,1,1,64
