epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,187.38,99.49,546.2,99.32,601882,101,3,1,1,64
1,182.04,97.36,531.77,98.0,601882,101,3,1,1,64
2,172.04,93.52,499.41,94.99,601882,101,3,1,1,64
3,150.36,85.02,421.06,87.23,601882,101,3,1,1,64
4,105.99,64.68,263.59,68.32,601882,101,3,1,1,64
5,47.02,32.86,95.69,38.11,601882,101,3,1,1,64
6,21.6,36.43,27.91,15.13,601882,101,3,1,1,64
7,13.07,26.58,15.02,11.77,601882,101,3,1,1,64
8,13.17,26.3,12.63,11.95,601882,101,3,1,1,64
9,8.98,16.43,11.37,10.96,601882,101,3,1,1,64
10,7.13,16.36,10.41,9.21,601882,101,3,1,1,64
11,4.74,14.04,8.97,8.29,601882,101,3,1,1,64
12,4.11,12.94,7.74,8.4,601882,101,3,1,1,64
13,3.54,12.62,6.95,8.82,601882,101,3,1,1,64
14,3.73,12.47,5.67,7.78,601882,101,3,1,1,64
15,2.71,10.29,4.78,7.41,601882,101,3,1,1,64
16,2.82,10.34,4.03,6.47,601882,101,3,1,1,64
17,2.94,10.19,3.96,6.75,601882,101,3,1,1,64
18,2.34,9.53,4.05,6.66,601882,101,3,1,1,64
19,2.36,9.32,4.01,6.27,601882,101,3,1,1,64
20,2.47,9.43,4.26,6.84,601882,101,3,1,1,64
21,2.68,9.76,4.03,5.68,601882,101,3,1,1,64
22,2.35,9.11,4.42,7.14,601882,101,3,1,1,64
23,2.52,9.12,4.17,6.63,601882,101,3,1,1,64
24,2.25,8.78,3.88,5.58,601882,101,3,1,1,64
