epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,163.94,99.48,112.19,98.67,600958,101,3,1,1,64
1,158.16,97.39,106.76,96.1,600958,101,3,1,1,64
2,146.61,92.84,93.97,89.68,600958,101,3,1,1,64
3,116.33,79.04,61.41,69.85,600958,101,3,1,1,64
4,55.34,39.39,14.96,28.45,600958,101,3,1,1,64
5,23.65,32.86,5.79,21.27,600958,101,3,1,1,64
6,9.7,18.58,1.42,9.32,600958,101,3,1,1,64
7,8.63,15.58,3.49,16.99,600958,101,3,1,1,64
8,6.57,10.41,2.63,10.88,600958,101,3,1,1,64
9,6.24,12.22,2.73,10.27,600958,101,3,1,1,64
10,5.14,10.02,2.17,10.0,600958,101,3,1,1,64
11,4.82,9.48,2.61,10.13,600958,101,3,1,1,64
12,4.19,9.57,2.85,9.94,600958,101,3,1,1,64
13,3.99,9.47,2.32,9.45,600958,101,3,1,1,64
14,3.59,8.82,2.28,9.17,600958,101,3,1,1,64
15,3.34,8.76,2.69,9.4,600958,101,3,1,1,64
16,2.88,8.74,2.26,9.09,600958,101,3,1,1,64
