epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,184.43,104.42,463.05,97.0,600729,101,3,1,1,64
1,147.52,164.96,305.1,78.05,600729,101,3,1,1,64
2,61.13,200.13,64.53,32.95,600729,101,3,1,1,64
3,37.29,147.4,22.61,17.08,600729,101,3,1,1,64
4,29.79,216.15,18.68,15.33,600729,101,3,1,1,64
5,25.23,116.6,6.83,8.71,600729,101,3,1,1,64
6,15.44,139.05,3.48,6.4,600729,101,3,1,1,64
7,9.59,98.99,1.64,3.62,600729,101,3,1,1,64
8,8.54,56.05,17.3,18.31,600729,101,3,1,1,64
9,5.76,65.55,9.04,12.97,600729,101,3,1,1,64
10,6.74,101.87,3.01,7.45,600729,101,3,1,1,64
11,4.79,70.48,3.14,7.71,600729,101,3,1,1,64
12,4.14,58.63,19.98,19.31,600729,101,3,1,1,64
13,4.74,52.95,0.48,2.34,600729,101,3,1,1,64
14,5.51,68.2,12.3,15.56,600729,101,3,1,1,64
15,7.48,81.72,18.6,18.14,600729,101,3,1,1,64
16,10.27,60.35,53.82,31.62,600729,101,3,1,1,64
17,16.1,106.72,29.09,24.42,600729,101,3,1,1,64
18,11.96,81.95,26.82,23.32,600729,101,3,1,1,64
19,4.88,70.94,3.66,7.32,600729,101,3,1,1,64
20,4.01,48.23,0.98,3.92,600729,101,3,1,1,64
21,3.29,41.05,3.15,6.92,600729,101,3,1,1,64
22,3.54,44.87,1.15,4.43,600729,101,3,1,1,64
23,3.49,51.75,0.53,2.45,600729,101,3,1,1,64
