epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,439.34,99.6,231.73,98.74,603189,101,3,1,1,64
1,426.43,98.03,219.86,96.2,603189,101,3,1,1,64
2,392.11,93.78,185.0,88.6,603189,101,3,1,1,64
3,285.21,78.39,80.76,58.58,603189,101,3,1,1,64
4,108.63,35.48,6.48,16.06,603189,101,3,1,1,64
5,53.39,27.82,38.03,42.32,603189,101,3,1,1,64
6,47.58,30.24,12.34,23.44,603189,101,3,1,1,64
7,32.62,16.25,4.24,11.76,603189,101,3,1,1,64
8,32.59,15.84,3.87,10.64,603189,101,3,1,1,64
9,29.88,13.81,3.54,8.13,603189,101,3,1,1,64
10,26.99,13.39,3.19,7.32,603189,101,3,1,1,64
11,24.84,12.34,2.71,7.03,603189,101,3,1,1,64
12,21.99,11.33,2.2,6.14,603189,101,3,1,1,64
13,20.82,11.23,1.9,6.23,603189,101,3,1,1,64
14,17.6,10.38,1.78,6.18,603189,101,3,1,1,64
15,16.31,10.1,1.7,6.08,603189,101,3,1,1,64
16,14.83,10.05,1.43,5.64,603189,101,3,1,1,64
17,12.84,9.38,1.28,5.13,603189,101,3,1,1,64
18,11.89,9.0,1.22,5.01,603189,101,3,1,1,64
19,10.96,8.98,1.07,4.66,603189,101,3,1,1,64
20,9.43,8.52,1.0,4.55,603189,101,3,1,1,64
21,8.74,8.41,0.94,4.35,603189,101,3,1,1,64
22,7.87,8.29,1.06,5.0,603189,101,3,1,1,64
23,7.25,8.26,0.89,4.26,603189,101,3,1,1,64
24,7.31,8.18,0.88,4.29,603189,101,3,1,1,64
25,7.27,8.47,0.99,4.62,603189,101,3,1,1,64
26,6.78,8.39,0.78,4.04,603189,101,3,1,1,64
27,8.11,9.28,2.21,8.72,603189,101,3,1,1,64
28,7.7,9.54,1.09,6.16,603189,101,3,1,1,64
29,6.76,10.25,0.91,4.64,603189,101,3,1,1,64
30,5.75,8.03,1.01,5.18,603189,101,3,1,1,64
31,5.73,8.1,0.73,3.87,603189,101,3,1,1,64
32,5.03,7.76,0.67,3.68,603189,101,3,1,1,64
33,4.38,7.66,0.71,4.08,603189,101,3,1,1,64
34,4.2,7.48,0.67,3.83,603189,101,3,1,1,64
35,4.39,7.62,0.64,3.65,603189,101,3,1,1,64
36,4.4,7.6,0.56,3.32,603189,101,3,1,1,64
37,4.81,7.8,1.54,7.43,603189,101,3,1,1,64
38,5.33,8.3,1.1,6.42,603189,101,3,1,1,64
39,5.82,9.79,2.71,10.32,603189,101,3,1,1,64
40,5.1,9.09,1.1,6.33,603189,101,3,1,1,64
41,4.96,8.57,0.78,4.62,603189,101,3,1,1,64
42,4.03,7.49,0.77,4.72,603189,101,3,1,1,64
43,4.5,7.66,0.66,4.41,603189,101,3,1,1,64
44,5.19,8.93,2.09,9.1,603189,101,3,1,1,64
45,4.51,8.34,1.2,6.8,603189,101,3,1,1,64
46,4.37,8.69,1.13,6.22,603189,101,3,1,1,64
