epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,18.52,19.98,20.26,14.36,000025,101,3,1,1,64
1,2.79,11.51,3.36,4.06,000025,101,3,1,1,64
2,2.36,11.07,17.24,19.77,000025,101,3,1,1,64
3,2.29,10.34,1.63,3.94,000025,101,3,1,1,64
4,2.14,9.97,1.57,5.05,000025,101,3,1,1,64
5,1.89,9.32,0.55,2.42,000025,101,3,1,1,64
6,1.77,9.29,3.76,8.08,000025,101,3,1,1,64
7,1.7,8.92,4.73,9.1,000025,101,3,1,1,64
8,1.47,8.27,0.67,2.67,000025,101,3,1,1,64
9,1.61,8.65,4.72,8.91,000025,101,3,1,1,64
10,1.42,7.77,5.29,10.4,000025,101,3,1,1,64
11,1.31,7.68,6.03,11.66,000025,101,3,1,1,64
12,1.37,7.54,1.9,6.21,000025,101,3,1,1,64
13,1.33,7.37,6.84,11.99,000025,101,3,1,1,64
14,1.65,7.47,1.44,5.35,000025,101,3,1,1,64
15,1.2,7.04,1.17,4.37,000025,101,3,1,1,64
