epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,4.95,147.28,2.12,67.14,600743,101,3,1,1,64
1,0.47,224.09,0.09,9.8,600743,101,3,1,1,64
2,0.44,92.38,0.35,25.82,600743,101,3,1,1,64
3,0.74,99.77,0.38,29.12,600743,101,3,1,1,64
4,0.27,68.75,0.02,5.54,600743,101,3,1,1,64
5,0.13,102.25,0.02,5.9,600743,101,3,1,1,64
6,0.11,83.8,0.03,6.09,600743,101,3,1,1,64
7,0.1,65.48,0.05,7.91,600743,101,3,1,1,64
8,0.1,54.02,0.07,9.76,600743,101,3,1,1,64
9,0.09,52.64,0.08,10.29,600743,101,3,1,1,64
10,0.09,47.9,0.06,7.7,600743,101,3,1,1,64
11,0.08,37.05,0.05,6.97,600743,101,3,1,1,64
12,0.08,25.61,0.04,6.18,600743,101,3,1,1,64
13,0.14,26.04,0.03,6.51,600743,101,3,1,1,64
14,0.17,31.51,0.08,12.74,600743,101,3,1,1,64
