epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,38.59,97.64,11.57,92.65,002303,101,3,1,1,64
1,33.79,85.19,6.58,69.26,002303,101,3,1,1,64
2,15.81,44.98,1.74,35.82,002303,101,3,1,1,64
3,5.31,55.6,0.79,17.61,002303,101,3,1,1,64
4,2.26,22.05,0.53,17.49,002303,101,3,1,1,64
5,1.8,16.67,0.06,5.1,002303,101,3,1,1,64
6,1.49,14.17,0.06,5.3,002303,101,3,1,1,64
7,1.23,15.43,0.29,14.27,002303,101,3,1,1,64
8,1.11,14.14,0.03,3.35,002303,101,3,1,1,64
9,1.19,17.59,0.31,14.49,002303,101,3,1,1,64
10,1.1,14.83,0.11,8.18,002303,101,3,1,1,64
11,1.21,17.29,0.44,17.57,002303,101,3,1,1,64
12,1.13,15.32,0.21,11.81,002303,101,3,1,1,64
13,0.99,16.91,0.44,17.89,002303,101,3,1,1,64
14,0.84,13.02,0.04,5.1,002303,101,3,1,1,64
15,0.98,14.43,0.03,3.58,002303,101,3,1,1,64
16,2.21,17.16,0.98,26.62,002303,101,3,1,1,64
17,4.66,25.52,3.06,48.36,002303,101,3,1,1,64
18,1.96,32.24,1.89,37.99,002303,101,3,1,1,64
